Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,141.704243509,19.47,470204134,4978399,475182533
2,2903100297,24.954451220,110.94,479393416,4994512,484387928
3,2881462834,25.471528487,107.88,486698561,4961857,491660418
4,2922130606,26.041657852,107.01,494495287,5354411,499849698
5,2895546390,23.270934205,118.66,500997335,5313652,506310987
6,2927986922,24.235949315,115.21,507315302,5363287,512678589
7,2928351910,24.401530422,114.44,515446316,5364269,520810585
8,2959977391,30.857802886,91.47,522794599,6324583,529119182
9,2942618555,30.142635862,93.10,528356688,6292108,534648796
10,2942116427,30.322939542,92.53,533901433,6294458,540195891
11,2920556300,29.412390946,94.69,537700818,6256406,543957224
12,2918667000,29.392556010,94.69,542405908,6256731,548662639
13,2965411592,32.266878767,87.64,551132189,6371105,557503294
14,2942774093,30.918328338,90.76,557129097,6292372,563421469
15,2963781990,29.427897533,96.04,561162333,6321833,567484166
16,2958441649,28.935283821,97.50,564466276,6318508,570784784
17,3002117829,30.335099461,94.38,569161083,6438045,575599128
18,3022834252,30.245814589,95.31,573688425,6472954,580161379
19,3025366345,30.597165055,94.29,577708392,6478119,584186511
20,3003673086,31.327355900,91.43,582459221,6398641,588857862
21,2954336947,29.432386849,95.72,586964079,6313665,593277744
22,2913028259,30.876310079,89.97,591722107,6243692,597965799
23,2885221566,28.769957207,95.64,596219465,6196232,602415697
24,2874752789,29.043663584,94.39,600639331,6172284,606811615
25,2889635810,30.083819665,91.60,604437118,6197838,610634956
26,2897811142,29.178471266,94.71,607794977,6211897,614006874
27,2888732397,29.876477031,92.20,612148163,6197914,618346077
28,2887493021,29.150506414,94.46,615785585,6193755,621979340
29,2894631484,29.988353881,92.05,620127576,6203869,626331445
30,2898888817,30.379798291,91.00,624630666,6209470,630840136
31,2913442241,29.752378317,93.38,629686940,6235401,635922341
32,2876263451,28.840900747,95.10,633013645,6172610,639186255
33,2841581538,29.948186289,90.48,636154399,6114438,642268837
34,2889946546,55.535623378,49.62,719469049,6192843,725661892
35,2904322746,51.930011241,53.33,792989350,6216749,799206099
36,2916945453,48.242675153,57.66,848673188,6240065,854913253
37,2909444762,46.435553418,59.75,898521703,6227296,904748999
38,2932161032,45.737406274,61.13,938408289,6263245,944671534
39,2909333243,40.119590167,69.15,970474810,6224142,976698952
40,2909799725,41.241339805,67.28,1003185797,6224288,1009410085
41,2931458560,42.028973000,66.51,1034403732,6259678,1040663410
42,2909014987,39.388267123,70.43,1060880150,6222478,1067102628
43,2908104297,38.870085200,71.34,1084565235,6221196,1090786431
44,2911263232,38.891008192,71.38,1103287234,6225651,1109512885
45,2895343856,39.201633178,70.43,1120626570,6199368,1126825938
46,2913888345,37.969768610,73.18,1133412401,6231411,1139643812
47,2934066524,38.209756678,73.23,1147357573,6265879,1153623452
48,2934035463,38.130360864,73.38,1159996287,6264481,1166260768
49,2938467793,39.670260180,70.64,1175300635,6274994,1181575629
50,2914216454,37.469235380,74.17,1189327877,6229687,1195557564
51,2936771266,40.078052221,69.88,1211181166,6270783,1217451949
52,2885231012,32.914037657,83.59,1221359737,6172520,1227532257
53,2888005688,34.089031432,80.79,1228293987,6179784,1234473771
54,2908036703,30.249759050,91.68,1232200281,6209961,1238410242
55,2917624970,29.888527855,93.09,1236660519,6226169,1242886688
56,2914291430,30.998239060,89.65,1242859899,6229988,1249089887
57,2929640541,30.937866117,90.30,1250359343,6255310,1256614653
58,2914994102,29.392712853,94.57,1254191764,6228706,1260420470
59,2919927888,29.924994284,93.05,1259508439,6237589,1265746028
60,2922457317,29.752796466,93.67,1262721541,6238617,1268960158
61,2923544017,29.596608438,94.20,1266243886,6240068,1272483954
62,2923906078,30.214504755,92.28,1270580721,6242763,1276823484
63,2939173097,30.730603412,91.21,1276085490,6275116,1282360606
64,2911403752,31.015183388,89.52,1280709558,6224710,1286934268
65,2920658048,31.770884736,87.66,1285441700,6241606,1291683306
66,2889515139,29.747082175,92.63,1289402767,6190204,1295592971
67,2912341427,29.012122645,95.73,1292873885,6228618,1299102503
68,2915158544,30.946435157,89.83,1296138393,6235774,1302374167
69,2909680624,30.409493272,91.25,1300333028,6223925,1306556953
70,2925838440,30.263451685,92.19,1304544888,6249942,1310794830
71,2941438748,30.953173582,90.62,1308968495,6275839,1315244334
72,2963096568,30.423134881,92.88,1313618050,6308817,1319926867
73,2944045198,31.646065099,88.72,1318385567,6275784,1324661351
74,2934060714,31.155268522,89.81,1321904520,6262686,1328167206
75,2969511599,30.084321329,94.13,1325315252,6321327,1331636579
76,2982592957,30.740969755,92.52,1329277871,6340711,1335618582
77,2980245305,30.345263743,93.66,1333067317,6334425,1339401742
78,2990856249,31.543265849,90.42,1337104665,6353010,1343457675
79,2978016335,32.743679672,86.73,1341463005,6337001,1347800006
80,2993731446,30.588195641,93.33,1345480090,6363050,1351843140
81,2957052307,29.559620503,95.40,1348941162,6297120,1355238282
82,2965514380,29.806358696,94.88,1352364221,6310487,1358674708
83,2980400979,31.023078855,91.61,1359684467,6333512,1366017979
84,2986199022,30.094083878,94.63,1363531497,6347070,1369878567
85,2985530551,30.500129947,93.35,1367505133,6347336,1373852469
86,2955359825,30.501730602,92.40,1373058585,6298263,1379356848
87,2962001643,30.260978897,93.34,1378567550,6306780,1384874330
88,2954153471,29.942714576,94.08,1381701085,6291183,1387992268
89,2981102134,30.286422891,93.87,1384960648,6337418,1391298066
90,2987070817,32.402438173,87.91,1391693865,6336167,1398030032
91,2968327047,30.229063793,93.64,1395962258,6307042,1402269300
92,2997313589,30.740600890,92.98,1400069467,6359502,1406428969
93,2996490034,32.017006665,89.25,1404331918,6359748,1410691666
94,2999595066,30.937678239,92.46,1409465415,6365005,1415830420
95,2998331717,31.722237194,90.13,1413826228,6367153,1420193381
96,3002090481,31.065037345,92.16,1419104011,6375003,1425479014
97,2984726397,29.901799472,95.19,1421557770,6344156,1427901926
98,3002824091,31.678789884,90.39,1424798691,6374004,1431172695
99,3056161461,32.752508503,88.98,1428934583,6458372,1435392955
100,3041192998,33.986406619,85.33,1433409832,6433316,1439843148
101,3025812882,33.235684567,86.82,1437603373,6412420,1444015793
102,3004960304,32.036009972,89.45,1441253968,6373082,1447627050
1,2893228259,141.799525622,19.45,470204134,4978399,475182533
2,2903100297,25.287956381,109.48,479393416,4994512,484387928
3,2881462834,23.835035255,115.29,486698561,4961857,491660418
4,2922130606,25.186155645,110.64,494495287,5354411,499849698
5,2895546390,23.411036854,117.95,500997335,5313652,506310987
6,2927986922,24.319263129,114.82,507315302,5363287,512678589
7,2928351910,24.615501696,113.45,515446316,5364269,520810585
8,2959977391,30.756335103,91.78,522794599,6324583,529119182
9,2942618555,30.102505924,93.22,528356688,6292108,534648796
10,2942116427,30.374158369,92.37,533901433,6294458,540195891
11,2920556300,30.028676087,92.75,537700818,6256406,543957224
12,2918667000,30.562407676,91.07,542405908,6256731,548662639
13,2965411592,31.575206813,89.56,551132189,6371105,557503294
14,2942774093,30.464393427,92.12,557129097,6292372,563421469
15,2963781990,29.423521153,96.06,561162333,6321833,567484166
16,2958441649,28.863460287,97.74,564466276,6318508,570784784
17,3002117829,31.101896077,92.05,569161083,6438045,575599128
18,3022834252,30.078687525,95.84,573688425,6472954,580161379
19,3025366345,29.901568177,96.49,577708392,6478119,584186511
20,3003673086,30.906606320,92.68,582459221,6398641,588857862
21,2954336947,29.535190067,95.39,586964079,6313665,593277744
22,2913028259,31.889196953,87.11,591722107,6243692,597965799
23,2885221566,31.240244912,88.07,596219465,6196232,602415697
24,2874752789,29.083416265,94.26,600639331,6172284,606811615
25,2889635810,29.092084665,94.72,604437118,6197838,610634956
26,2897811142,28.622894694,96.55,607794977,6211897,614006874
27,2888732397,31.031989132,88.77,612148163,6197914,618346077
28,2887493021,30.498054623,90.29,615785585,6193755,621979340
29,2894631484,29.179143489,94.60,620127576,6203869,626331445
30,2898888817,29.386237640,94.07,624630666,6209470,630840136
31,2913442241,29.754713217,93.37,629686940,6235401,635922341
32,2876263451,28.855728649,95.05,633013645,6172610,639186255
33,2841581538,28.616002817,94.70,636154399,6114438,642268837
34,2889946546,53.846387214,51.18,719469049,6192843,725661892
35,2904322746,51.596232798,53.68,792989350,6216749,799206099
36,2916945453,47.649862259,58.38,848673188,6240065,854913253
37,2909444762,45.832026124,60.53,898521703,6227296,904748999
38,2932161032,46.078945001,60.68,938408289,6263245,944671534
39,2909333243,41.267638547,67.23,970474810,6224142,976698952
40,2909799725,40.966160755,67.73,1003185797,6224288,1009410085
41,2931458560,41.156849074,67.92,1034403732,6259678,1040663410
42,2909014987,38.899943412,71.31,1060880150,6222478,1067102628
43,2908104297,38.439889460,72.14,1084565235,6221196,1090786431
44,2911263232,38.297884502,72.49,1103287234,6225651,1109512885
