Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,2893207779,15.970923809,172.76
2,ea77d969c712e58e4f12d61ba775fd488b982f43,2903083913,10.029916054,276.03
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,2881446450,10.091234827,272.31
4,770a456060fbafe103b167adf2b01aa4e0d94903,2922122414,10.474992093,266.03
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,2895538198,10.371577217,266.24
6,5a0aafd58b03c54930e8d183e34e6757570c9682,2927978730,11.014419784,253.51
7,21737933a799f56437faef76f2eb6ad0e3bb8486,2928343718,11.414753825,244.65
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,2959969199,11.345673744,248.80
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,2942614459,11.690083309,240.05
10,b05d24a79fa236421334ebf0803e842048ebf1b4,2942112331,11.613588501,241.59
11,e357919e0baa947a75c060affe4e7d1467d82448,2920548108,11.900459278,234.04
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,2918658808,11.972912691,232.47
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,2965403400,11.823695973,239.18
14,7391dd8d9e85a362d06988741081fd073e81f9f2,2942765901,12.264571702,228.82
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,2963773798,12.061272518,234.34
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,2958433457,11.996862465,235.17
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,3002113733,12.644539156,226.42
18,86d7ab14fa255ca94fb1cd75745bf12032734587,3022826060,12.537384292,229.93
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,3025358153,13.255382215,217.66
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,3003664894,12.220968563,234.39
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,2954328755,12.513647747,225.15
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,2913024163,12.852441188,216.15
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,2885217470,12.469463529,220.66
24,902627898be383023bc701bb4aac70d9ce6db843,2874744597,13.187614653,207.88
25,689625303d75cd8446a7f4638683b3039e827cfa,2889627618,12.696357330,217.05
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,2897802950,12.781950900,216.20
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,2888724205,13.106837716,210.18
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,2887488925,12.907188278,213.34
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,2894631484,13.618712167,202.70
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,2898884721,13.144348581,210.32
31,cc0250363a4517023ea834eb556b7f75eb3e1664,2913438145,13.645183438,203.62
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,2876255259,13.729835886,199.78
33,3ed770b2b05ec8201f79cb4a6c16cb82f64291d8,2841577442,13.795937411,196.42
34,72376f62a21666198700efbc1941efbd8f73cac8,2889946546,15.380443434,179.19
35,1a800b718f8dd0df0097cdc624626391ecfe79b3,2904318650,17.987894026,153.97
36,f6a1465545d4e7adc923adafeb1d9b4d0839e3b0,2916941357,20.480706316,135.82
37,a829af8bf0535580214e90543dc45d32677e781d,2909440666,20.822088619,133.25
38,588e2e7675191bc6721eff29e0a1d9702363ff6e,2932156936,21.791991689,128.31
39,8c0d14ba60e4fd2080973e92fc9bfa9145a4ac60,2909329147,35.261256793,78.68
40,6c1ff429defa1def5ce35a9b49766a22ab2033b2,2909791533,23.283546137,119.18
41,e54fd68324a3e7233da3dd2dbee2e487d702e062,2931450368,25.405811316,110.03
