Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.480492878,5.01,767999,108066,876065
2,3142928,.365266462,8.18,1525973,118191,1644164
3,3167216,.299094740,10.09,1990816,118865,2109681
4,3167983,.304680745,9.91,2359440,119355,2478795
5,3183711,.298735385,10.14,2702071,119853,2821924
6,2784073,.345095470,7.67,3177239,112740,3289979
7,2787160,.237614787,11.15,3374113,112974,3487087
8,3197956,.297019206,10.23,3755174,120723,3875897
9,3382358,.314733641,10.23,4322729,123589,4446318
10,3404072,.297623185,10.88,4771294,123994,4895288
11,3224021,.293074358,10.47,5145020,121694,5266714
12,3233356,.275396843,11.18,5536915,122010,5658925
13,3236663,.206330540,14.92,5669086,122334,5791420
14,3294796,.297756967,10.54,6089645,122898,6212543
15,3295068,.163087242,19.25,6226661,123134,6349795
16,3302334,.289229364,10.85,6607162,123458,6730620
17,3294749,.210908373,14.88,6905783,123694,7029477
18,3300186,.217534585,14.43,7197897,124090,7321987
19,3392266,.254319847,12.70,7565245,126118,7691363
20,3843754,.515651080,7.09,8746686,131423,8878109
21,3397020,.330743970,9.76,9133380,126670,9260050
22,3453396,.283326772,11.61,9553985,127082,9681067
23,3470840,.235477932,14.05,9988566,127494,10116060
24,3518664,.291159828,11.50,10438950,128066,10567016
25,3525648,.283735629,11.84,10937210,128470,11065680
26,3575277,.332596115,10.22,11567920,129386,11697306
27,3574473,.227673867,14.93,11947683,129622,12077305
28,3865717,.281735520,13.06,12447613,133815,12581428
29,3968673,.347380946,10.88,13266223,135051,13401274
30,1503895,.269682424,5.30,13645735,95806,13741541
31,1992552,.324266800,5.85,14151179,110179,14261358
32,2532649,.187347461,12.86,14152490,115367,14267857
33,3197956,.203999685,14.90,14153801,126622,14280423
34,3392266,.177454368,18.20,14155113,129658,14284771
35,3865717,.251080866,14.65,14156424,135467,14291891
36,1721621,.300060549,5.46,14652198,107551,14759749
37,1213331,.240215487,4.78,14854169,93889,14948058
38,1725648,.261230106,6.27,15082260,107847,15190107
39,2038112,.284162522,6.82,15330285,113675,15443960
40,2789653,.203638630,13.06,15461601,120847,15582448
41,3301781,.272947495,11.50,15600384,129518,15729902
42,3576601,.282051373,12.08,15889993,133162,16023155
43,1992652,.232279167,8.17,16176327,108779,16285106
44,1563869,.245369865,6.07,16377034,101398,16478432
45,1581556,.225286963,6.65,16544435,102506,16646941
46,6155970,.708462272,8.28,18636202,192141,18828343
47,1289577,.250215708,4.87,18924631,94322,19018953
48,1192592,.244540721,4.62,19182534,93134,19275668
49,1217769,.174436280,6.64,19348223,99937,19448160
50,1531623,.175523316,8.31,19548019,101366,19649385
51,1224559,.144419568,8.03,19679592,100329,19779921
52,1205007,.151049547,7.54,19765557,99693,19865250
53,4365323,.489525949,8.49,20914357,148613,21062970
54,4031337,.367992900,10.43,21482119,141975,21624094
55,4090535,.294950109,13.22,22048675,142995,22191670
56,4418417,.534190957,7.88,23188987,150553,23339540
57,6229166,.598077542,9.93,24978727,190411,25169138
58,6254372,.245126112,24.31,25224989,190999,25415988
59,4455956,.341606944,12.41,25715339,151773,25867112
60,5140197,.531949919,9.21,27023209,167334,27190543
61,5145432,.247306225,19.81,27388031,167570,27555601
62,4928187,.312097896,15.02,28013572,169259,28182831
63,4932535,.245086647,19.17,28343654,169503,28513157
64,4974578,.314843947,15.05,28686496,170851,28857347
65,4977919,.219837608,21.56,28940195,170999,29111194
66,4980576,.190737698,24.85,29092971,171323,29264294
67,4981037,.198344869,23.94,29137451,171559,29309010
68,6260836,.394562254,15.13,29474983,193527,29668510
69,6390362,.748343345,8.13,31364989,196276,31561265
70,6313586,.447078681,13.46,32053990,194975,32248965
71,6318595,.214406044,28.07,32194476,195240,32389716
72,6347171,.700322178,8.63,33647354,196524,33843878
73,6341402,.377536443,15.99,34437900,196048,34633948
74,6347055,.263745324,22.93,34886337,196540,35082877
75,6359818,.288816534,20.98,35303542,197112,35500654
76,6391647,.238937089,25.48,35599082,197652,35796734
77,6391642,.276485680,22.02,35691176,198164,35889340
78,6538345,.815411598,7.64,37933680,202884,38136564
79,6401540,.422421388,14.44,38781613,199388,38981001
80,6404317,.298801762,20.41,39115906,199504,39315410
81,6434296,.300766582,20.38,39528749,200100,39728849
82,6435221,.253267011,24.20,39877413,200336,40077749
83,6434662,.336919522,18.19,40281484,200748,40482232
84,6436136,.267653656,22.90,40385688,200984,40586672
85,6444754,.255067773,24.07,40595783,201676,40797459
86,6549675,.281257392,22.18,40807123,205548,41012671
87,6556548,.339137475,18.42,41168554,205816,41374370
88,6575834,.857099456,7.31,43310045,206876,43516921
89,6642067,1.006233639,6.29,45578193,207184,45785377
90,6661426,.831552697,7.63,47855203,207951,48063154
91,6901603,.880394535,7.47,50238721,210539,50449260
92,6663011,.420560743,15.09,50615087,208503,50823590
93,6670050,.834330913,7.62,52880607,208923,53089530
94,6815532,.367969591,17.63,53579240,209895,53789135
95,6843458,.887292471,7.34,55880013,210467,56090480
96,6848945,.298353577,21.88,56344983,210703,56555686
97,6925867,.823650624,8.01,58666281,211955,58878236
98,6936541,.418286247,15.80,59673073,212295,59885368
99,6944582,.280131561,23.63,59958609,212611,60171220
100,4959238,.422450646,11.17,60551469,179600,60731069
1,2532649,.674658463,3.57,767999,108066,876065
2,3142928,.355506153,8.41,1525973,118191,1644164
3,3167216,.323434087,9.33,1990816,118865,2109681
4,3167983,.283374220,10.65,2359440,119355,2478795
5,3183711,.226004517,13.40,2702071,119853,2821924
6,2784073,.336756850,7.86,3177239,112740,3289979
7,2787160,.201063543,13.17,3374113,112974,3487087
8,3197956,.316468408,9.60,3755174,120723,3875897
9,3382358,.311077462,10.35,4322729,123589,4446318
10,3404072,.218888868,14.80,4771294,123994,4895288
11,3224021,.242077306,12.68,5145020,121694,5266714
12,3233356,.303620050,10.14,5536915,122010,5658925
13,3236663,.186093483,16.55,5669086,122334,5791420
14,3294796,.285244008,11.00,6089645,122898,6212543
15,3295068,.156533538,20.05,6226661,123134,6349795
16,3302334,.250015796,12.55,6607162,123458,6730620
17,3294749,.247608750,12.68,6905783,123694,7029477
18,3300186,.200446545,15.66,7197897,124090,7321987
19,3392266,.254562538,12.68,7565245,126118,7691363
20,3843754,.536672788,6.81,8746686,131423,8878109
21,3397020,.333583615,9.68,9133380,126670,9260050
22,3453396,.251129241,13.10,9553985,127082,9681067
23,3470840,.265489564,12.46,9988566,127494,10116060
24,3518664,.257704746,12.99,10438950,128066,10567016
25,3525648,.243532747,13.79,10937210,128470,11065680
26,3575277,.339799871,10.00,11567920,129386,11697306
27,3574473,.272989433,12.45,11947683,129622,12077305
28,3865717,.281811149,13.05,12447613,133815,12581428
29,3968673,.367827243,10.27,13266223,135051,13401274
30,1503895,.313488959,4.56,13645735,95806,13741541
31,1992552,.320195586,5.93,14151179,110179,14261358
32,2532649,.193248798,12.47,14152490,115367,14267857
33,3197956,.206843786,14.69,14153801,126622,14280423
34,3392266,.163923344,19.70,14155113,129658,14284771
35,3865717,.271425304,13.55,14156424,135467,14291891
36,1721621,.315732856,5.19,14652198,107551,14759749
37,1213331,.178146344,6.45,14854169,93889,14948058
38,1725648,.258133588,6.35,15082260,107847,15190107
39,2038112,.241478156,8.03,15330285,113675,15443960
40,2789653,.196398258,13.54,15461601,120847,15582448
41,3301781,.237083175,13.24,15600384,129518,15729902
42,3576601,.268773299,12.68,15889993,133162,16023155
43,1992652,.339326624,5.59,16176327,108779,16285106
44,1563869,.186221657,8.00,16377034,101398,16478432
45,1581556,.164195604,9.13,16544435,102506,16646941
46,6155970,.675925982,8.68,18636202,192141,18828343
47,1289577,.267819339,4.55,18924631,94322,19018953
48,1192592,.228813345,4.93,19182534,93134,19275668
49,1217769,.157413757,7.36,19348223,99937,19448160
50,1531623,.184869880,7.89,19548019,101366,19649385
51,1224559,.211312178,5.48,19679592,100329,19779921
52,1205007,.250684817,4.54,19765557,99693,19865250
53,4365323,.501373419,8.29,20914357,148613,21062970
54,4031337,.382562399,10.03,21482119,141975,21624094
