Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.284728965,8.53
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3142928,.176574387,16.93
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3167216,.138621994,21.78
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3167983,.117685169,25.66
5,670618ceae0f70fee9c26caedf56161a8585feae,3183711,.191168774,15.84
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2784073,.099007911,26.76
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2787160,.122063921,21.70
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3197956,.156066134,19.47
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3382358,.125130482,25.73
10,ac74d58a69839b3adc73159d22e64faf53261a86,3404072,.074958501,43.22
11,ba776c097d9139bd52c75666822f7acb282a9182,3224021,.121189704,25.33
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3233356,.136230711,22.60
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3236663,.080755671,38.13
14,3d6b1bdbffff3622b070026b39edef4a45989795,3294796,.175431002,17.89
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3295068,.165623886,18.95
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3302334,.126590228,24.80
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3294749,.123107465,25.50
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3300186,.114594313,27.40
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3392266,.133720090,24.15
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3843754,.161463286,22.66
21,d781e18a543942240c7f0be9406781eb142fff26,3397020,.190981133,16.91
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3453396,.192820470,17.06
23,0137944c008beb458cd15c2d69c0aa1b83720857,3470840,.144845405,22.85
24,d853813309f2b8037f073dc858a08f3876b07337,3518664,.162969752,20.55
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3525648,.168697805,19.91
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3575277,.109915434,30.93
27,3f319006b45b5067908e34d5c76882bee733a695,3574473,.103896738,32.72
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3865717,.108042007,34.06
29,45ed4be004f1f771270c85721dec95d453d4b923,3968673,.190684170,19.82
30,35c2f55320b6485851b241340741a06f658a299f,1503895,.053005595,26.97
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,1992552,.106843956,17.78
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2532649,.045473797,52.99
33,249ebd2e6a4dd662c8231068938df2cee286110b,3197956,.078781031,38.58
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3392266,.146096229,22.10
