Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.504758529,4.12,494021,119492,613513
2,2757185,.468669028,5.59,984098,134565,1118663
3,3117942,.455166401,6.52,1457670,142089,1599759
4,3134771,.287854683,10.35,1556557,142740,1699297
5,3179275,.281182421,10.77,1716550,143830,1860380
6,3428842,.326872028,9.97,2132149,146918,2279067
7,3426700,.261619323,12.46,2180370,147152,2327522
8,8486332,.750339627,10.78,4058796,172375,4231171
9,10980071,.483472855,21.65,4973707,186174,5159881
10,11100568,.396998921,26.64,5520219,188225,5708444
11,11106769,.268516733,39.43,5611604,188646,5800250
12,11586094,.571651655,19.31,6502002,200229,6702231
13,9302953,.556863550,15.92,7570891,202226,7773117
14,9617771,.456665598,20.08,8347777,204135,8551912
15,9734271,.498116983,18.63,9133122,206132,9339254
16,9755607,.499238176,18.62,10013215,206587,10219802
17,9876379,.571725015,16.45,11038744,216050,11254794
18,10073460,.518081513,18.52,11779372,225800,12005172
19,10103074,.391928210,24.57,12236401,226412,12462813
20,10154343,.641035720,15.10,13368147,227161,13595308
21,10239329,.484842990,20.13,13905432,227691,14133123
22,10298229,.470168398,20.88,14379381,228023,14607404
23,10422176,.545081427,18.21,15163081,230363,15393444
24,10970042,.480219602,21.78,16049594,233879,16283473
25,11070098,.461581141,22.85,16625422,233817,16859239
26,11178454,.433947933,24.56,17163260,234405,17397665
27,11476317,.525430383,20.82,18064639,236498,18301137
28,11653108,.540568508,20.55,18938392,234732,19173124
1,2182518,.453924865,4.58,494021,119492,613513
2,2757185,.433271472,6.04,984098,134565,1118663
3,3117942,.404303716,7.34,1457670,142089,1599759
4,3134771,.258945363,11.50,1556557,142740,1699297
5,3179275,.257399405,11.77,1716550,143830,1860380
6,3428842,.360177277,9.05,2132149,146918,2279067
7,3426700,.183742621,17.74,2180370,147152,2327522
8,8486332,.710387303,11.38,4058796,172375,4231171
9,10980071,.507221497,20.64,4973707,186174,5159881
10,11100568,.404422828,26.16,5520219,188225,5708444
11,11106769,.412344485,25.68,5611604,188646,5800250
12,11586094,.557082082,19.81,6502002,200229,6702231
13,9302953,.779868726,11.37,7570891,202226,7773117
14,9617771,.450222094,20.36,8347777,204135,8551912
15,9734271,.493921211,18.78,9133122,206132,9339254
16,9755607,.520223840,17.87,10013215,206587,10219802
17,9876379,.604459289,15.56,11038744,216050,11254794
18,10073460,.618477084,15.52,11779372,225800,12005172
19,10103074,.381091669,25.26,12236401,226412,12462813
20,10154343,.612366382,15.80,13368147,227161,13595308
21,10239329,.435685139,22.40,13905432,227691,14133123
22,10298229,.441623008,22.23,14379381,228023,14607404
23,10422176,.527485443,18.82,15163081,230363,15393444
24,10970042,.497826979,21.01,16049594,233879,16283473
25,11070098,.429530326,24.56,16625422,233817,16859239
26,11178454,.432637882,24.63,17163260,234405,17397665
27,11476317,.553492526,19.76,18064639,236498,18301137
28,11653108,.558334532,19.89,18938392,234732,19173124
1,2182518,.525258228,3.95,494021,119492,613513
2,2757185,.493909179,5.30,984098,134565,1118663
3,3117942,.460320224,6.45,1457670,142089,1599759
4,3134771,.307831707,9.68,1556557,142740,1699297
5,3179275,.229474834,13.20,1716550,143830,1860380
6,3428842,.385832521,8.44,2132149,146918,2279067
7,3426700,.194604836,16.75,2180370,147152,2327522
8,8486332,.794134990,10.18,4058796,172375,4231171
9,10980071,.495329925,21.13,4973707,186174,5159881
10,11100568,.406292236,26.04,5520219,188225,5708444
11,11106769,.282162798,37.53,5611604,188646,5800250
12,11586094,.552238833,19.99,6502002,200229,6702231
13,9302953,.506128896,17.52,7570891,202226,7773117
14,9617771,.424925863,21.58,8347777,204135,8551912
15,9734271,.492468166,18.84,9133122,206132,9339254
