Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,92997a7bb0b93243d0d95515adcdddac10f55000,32750157,4.689362026,6.65
2,7f5c3885e5a34e3e747fb3e3bfe5a0165bf2265e,29490026,1.517895233,18.52
3,555bb66087baad805197d562c06ce56d6b051f86,56090391,.600198627,89.12
4,4a40347fc1ce703e518030573779a60ad233d306,55668797,.684875985,77.50
5,3c4bb30dd1838f8262539bf7743117e64888c342,55699494,.596452768,89.04
6,6e15dcd875f092ee6decfcf9140bc1975f9a27f3,55693155,.765354523,69.39
7,2965d78a5f9aa91d71a7388964bdc8989f4b0469,53406036,.782938623,65.04
8,1b5ddb384e75b5b154dcd8cd52c7d886418ae16b,74382330,.896898430,79.08
9,332a3a754b9c6bf21b6e0bf9d180e3ff82bb4bb7,75204083,1.045855996,68.57
10,ae98d20de36bb7569f4c0641bd500ceaee1e8f8d,75870097,.970984679,74.51
11,3fdffc528af1d971fdb185d6881ba00ab37743a3,76290428,1.727554372,42.11
12,de2c64e70a205d310529579aaedc89802a364e45,76604029,1.604024688,45.54
13,5c3c7e755e7df055968ab76f501f14940289ced5,113371107,1.942249167,55.66
14,cb0d3b46849fdbcf2d1fa0e3fe848d2792235538,113745479,2.296983619,47.22
15,0faaed81debbe89c130d6f1b9cb98dce685e6da6,113815169,2.263948589,47.94
16,cc03ed40f4d2e0d69527936aa9963a4c19ebda6a,114667348,2.342264390,46.68
17,5909223a5eb4b451490da6815cb9b7846d75acfb,114899111,2.465164965,44.44
18,aac81259d39cae139fbe87acd4b16b65e768a24a,115001266,2.298284539,47.71
19,771d182fbce665d40e842d7c107141aa338c9bb5,128216229,2.715363057,45.02
20,362ffbea4e4bf6fa25e057738d1a53cd8dc43ad0,129641986,2.865438953,43.14
21,a2bd719adcd5f0d6672a3319ecdcc6171eb2bc8c,129733854,3.115423246,39.71
22,1b33a4c7e0c0ff27ac11b2a6c222b05d9dacedf6,130672241,3.082322452,40.42
23,adaca2ddb21c99deecc065efab855c5f19901a00,130788718,3.853205879,32.36
24,93e656387515ffb5858a83db7bf5b50de8ae476d,130822051,3.220260070,38.74
25,df1499621c784839afcbeace14ade7948afd3ffe,131459821,3.228775876,38.82
26,bbeb67c58b85e6e0965592eb728c2d43fde58378,166837490,3.543339301,44.90
27,27b5ef4be8ed19d53fa24ecff49c1cc6daff2547,164784358,3.592660931,43.74
28,7bd7db3d2988b5aa475b1f3a6443cedd39d53d5e,166881977,3.696806361,43.05
29,890f75cdadafedb70af1a12e66b1944b56d15499,167438817,3.746648489,42.61
30,d97f49199bf6908dd83c31f6ea038fb9c5e8ae9f,168573689,3.655448840,43.97
31,09fe9f343b96efc93652cac1b51643d376543c53,168714661,4.288510097,37.51
32,1076a6ef6a6ae1f8fe9dd10b17d5e60f548d139b,168236974,4.030452367,39.80
33,c80a07aa35667c3c3781a181b13309b15ae585e6,198345968,4.226515994,44.75
34,e7c63ebc261abbddb0f65bd9ccb9b4222b00971e,200601863,4.527525161,42.25
35,a2c6134c028c62e8e04a2428e7495844134637b6,199843217,4.561028298,41.78
36,8c97e4fb53c8eef407f4b5d9ec1bed26928972ac,199835926,4.836391001,39.40
37,633468cee2f72dfa3d9b94fa3195cab3be183602,200027076,5.194926144,36.72
38,a031feecb1ffe5f82fdaf693e4b72e1c28764590,237246166,5.203320604,43.48
39,f307ecbd0cf45bd36fed519d2d6a8b7ac69eb66b,238489430,4.953825932,45.91
40,b3ebe72d68a6db862de020ecc5a7d97fae531ae9,240061825,5.454485321,41.97
41,28432f7e45f1f2b33730465403110e01440d3914,266008102,5.590079393,45.38
42,e1233b5fede39a54dd758d5315746f9f17de0d0d,267882791,5.923718730,43.12
