Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,1.594439259,12.09,3878506,503331,4381837
2,20304307,.574287832,33.71,4330779,504302,4835081
3,20341860,.522213120,37.13,4526429,505351,5031780
4,20362280,.485802501,39.95,4652450,505889,5158339
5,20698589,.572041277,34.49,5081047,512206,5593253
6,20790499,.573710669,34.54,5406155,513320,5919475
7,20873578,.522035922,38.11,5731694,515508,6247202
8,21078740,.616745740,32.59,6269452,518851,6788303
9,21227178,.547846993,36.94,6637585,521401,7158986
10,21386004,1.807534888,11.28,10578565,525143,11103708
11,21498654,.542947577,37.75,10844373,528410,11372783
12,21507592,.488415267,41.99,10996159,528646,11524805
13,21577779,.571609044,35.98,11212300,530132,11742432
14,21563266,.484948694,42.39,11270369,529479,11799848
15,21657072,.584029242,35.35,11689427,531189,12220616
16,21788377,.609487063,34.07,12199074,532921,12731995
17,21832791,.581632181,35.79,12583494,533757,13117251
18,21833427,.525162729,39.64,12644817,533993,13178810
19,21837899,.534105575,38.98,12734203,534229,13268432
20,22086624,.726272829,28.99,13496408,536625,14033033
21,22113265,.563292607,37.42,13640747,536861,14177608
22,22473211,1.014220588,21.12,15171325,542054,15713379
23,22528807,.652262818,32.93,15743732,542978,16286710
24,22571592,.761532576,28.25,16418048,544607,16962655
25,22592770,.620637820,34.70,16749433,544810,17294243
26,22646715,.549856191,39.26,16921327,545719,17467046
27,22707852,.582791965,37.14,17250794,546888,17797682
28,22710068,.458131263,47.25,17309724,547228,17856952
29,22750440,.554569621,39.11,17581777,547736,18129513
30,22837903,.587986333,37.02,17871121,549193,18420314
31,22851488,.568161782,38.35,18170594,550149,18720743
32,22912560,.573216344,38.11,18498126,551257,19049383
33,22918926,.552954031,39.51,18663812,551493,19215305
34,22938599,.587667656,37.21,18981511,551850,19533361
35,22974213,.542924930,40.33,19213751,552518,19766269
36,23103620,.641243764,34.35,19611407,554957,20166364
37,23114914,.549104739,40.13,19770873,555478,20326351
38,23117673,.529855300,41.59,19886975,555714,20442689
39,23511769,.580526156,38.62,20132950,564422,20697372
40,23511769,.528141573,42.45,20191915,564658,20756573
41,23709439,.647042912,34.94,20494113,566930,21061043
42,23862319,.591044767,38.49,20742225,569140,21311365
43,23895213,.580832220,39.21,20992092,569721,21561813
44,24010805,.700902617,32.65,21517822,571980,22089802
45,24011659,.591772309,38.68,21597193,572216,22169409
46,24033959,.553984233,41.37,21802631,572452,22375083
47,24064386,.622045513,36.87,22060403,572952,22633355
48,24101564,.603309084,38.08,22272144,574132,22846276
49,24132508,.603184519,38.14,22535159,574344,23109503
50,24154992,.631693065,36.45,22824681,574700,23399381
51,24193274,.580426983,39.74,23113751,575648,23689399
52,24192636,.610418375,37.79,23394956,575764,23970720
53,24222621,.627582034,36.80,23648438,576272,24224710
54,24254001,.634020182,36.48,23986612,576788,24563400
55,24267712,.536025556,43.16,24085062,577281,24662343
56,24284353,.550954705,42.01,24243694,578301,24821995
57,24323473,.570355148,40.65,24508752,579084,25087836
58,24423603,.594856261,39.15,24839103,579928,25419031
59,24423710,.560388538,41.56,24901525,580164,25481689
60,24423710,.519042415,44.87,24962762,580400,25543162
61,24449714,.643765562,36.20,25202750,581268,25784018
62,24453225,.578413745,40.31,25297808,581504,25879312
63,24518300,.617894224,37.83,25656664,583052,26239716
64,24587351,.674078800,34.77,26115177,584473,26699650
65,24672162,.622131653,37.80,26412238,586336,26998574
66,24791802,.719818893,32.84,26996165,588350,27584515
67,24828042,.627064129,37.74,27240324,589034,27829358
68,24857708,.633860625,37.38,27566078,589534,28155612
69,24883530,.617639510,38.42,27798380,589770,28388150
70,24975182,.685650541,34.72,28249478,591294,28840772
71,25003159,.658508672,36.20,28581658,592098,29173756
72,25072694,.621514579,38.47,28774514,593403,29367917
73,25082407,.651979753,36.68,29044406,593911,29638317
74,25102033,.599233793,39.93,29299317,594467,29893784
75,25117816,.610101248,39.25,29481354,594839,30076193
76,25138002,.640619241,37.41,29780460,595235,30375695
77,25140423,.573439707,41.80,29840967,595471,30436438
78,25242311,.761266182,31.61,30526259,596909,31123168
79,25230586,.677264214,35.52,30860961,596422,31457383
80,25835553,1.001618651,24.59,31807805,608189,32415994
81,25888634,.598622120,41.22,32071825,608561,32680386
82,26197707,.691896038,36.10,32465755,613043,33078798
83,26461339,.622660934,40.51,32630780,623364,33254144
84,26605974,.693778431,36.56,33032671,625496,33658167
85,26620303,.632433339,40.13,33246904,626028,33872932
86,26620246,.548754280,46.25,33328347,626264,33954611
87,27245871,.893113981,29.08,34258972,638430,34897402
88,26831239,.715040191,35.77,34570542,629677,35200219
89,27013935,.676559706,38.07,34891000,637038,35528038
90,27108796,.702266914,36.80,35235508,637316,35872824
91,27189877,.624358380,41.53,35449989,638640,36088629
92,28144208,.821494249,32.67,36043925,668075,36712000
93,29381523,1.101229278,25.44,37399703,688007,38087710
94,29542549,.910859087,30.92,38279691,692544,38972235
95,19134677,1.466098615,12.44,41731125,455777,42186902
96,17653746,1.114932634,15.09,43918332,437136,44355468
97,17104702,1.017605056,16.02,45848406,430454,46278860
98,17361383,.638343826,25.92,46610694,425987,47036681
99,17277567,1.089335954,15.11,48616204,428313,49044517
1,20237220,1.685308728,11.44,3878506,503331,4381837
2,20304307,.563839449,34.33,4330779,504302,4835081
3,20341860,.478181160,40.54,4526429,505351,5031780
4,20362280,.461819295,42.02,4652450,505889,5158339
5,20698589,.600166000,32.87,5081047,512206,5593253
6,20790499,.519700781,38.13,5406155,513320,5919475
7,20873578,.609314599,32.65,5731694,515508,6247202
8,21078740,.659144414,30.49,6269452,518851,6788303
9,21227178,.598441417,33.82,6637585,521401,7158986
10,21386004,1.807132637,11.28,10578565,525143,11103708
11,21498654,.576364812,35.56,10844373,528410,11372783
12,21507592,.488215026,42.01,10996159,528646,11524805
13,21577779,.546742452,37.62,11212300,530132,11742432
14,21563266,.526516089,39.04,11270369,529479,11799848
15,21657072,.593678243,34.78,11689427,531189,12220616
16,21788377,.658409823,31.54,12199074,532921,12731995
17,21832791,.615037208,33.85,12583494,533757,13117251
18,21833427,.492489425,42.27,12644817,533993,13178810
19,21837899,.478525734,43.50,12734203,534229,13268432
20,22086624,.773872445,27.21,13496408,536625,14033033
21,22113265,.513549466,41.04,13640747,536861,14177608
22,22473211,1.048686999,20.43,15171325,542054,15713379
23,22528807,.643526325,33.37,15743732,542978,16286710
24,22571592,.710753568,30.27,16418048,544607,16962655
25,22592770,.618817788,34.80,16749433,544810,17294243
26,22646715,.545298525,39.59,16921327,545719,17467046
27,22707852,.572671744,37.80,17250794,546888,17797682
28,22710068,.467510207,46.30,17309724,547228,17856952
29,22750440,.532874961,40.70,17581777,547736,18129513
30,22837903,.587325296,37.06,17871121,549193,18420314
31,22851488,.599639802,36.33,18170594,550149,18720743
32,22912560,.606133603,36.04,18498126,551257,19049383
33,22918926,.575131329,37.99,18663812,551493,19215305
34,22938599,.580791796,37.65,18981511,551850,19533361
35,22974213,.611907406,35.78,19213751,552518,19766269
36,23103620,.640934012,34.37,19611407,554957,20166364
37,23114914,.580624735,37.95,19770873,555478,20326351
38,23117673,.543903818,40.52,19886975,555714,20442689
39,23511769,.610385742,36.73,20132950,564422,20697372
40,23511769,.499975700,44.84,20191915,564658,20756573
41,23709439,.647313028,34.92,20494113,566930,21061043
42,23862319,.603165669,37.71,20742225,569140,21311365
43,23895213,.563146640,40.45,20992092,569721,21561813
44,24010805,.663921890,34.47,21517822,571980,22089802
45,24011659,.506318826,45.20,21597193,572216,22169409
46,24033959,.544962264,42.05,21802631,572452,22375083
47,24064386,.586102197,39.13,22060403,572952,22633355
48,24101564,.559026484,41.10,22272144,574132,22846276
49,24132508,.571078847,40.29,22535159,574344,23109503
50,24154992,.589569848,39.06,22824681,574700,23399381
51,24193274,.573298443,40.24,23113751,575648,23689399
52,24192636,.604429529,38.16,23394956,575764,23970720
53,24222621,.572323732,40.36,23648438,576272,24224710
54,24254001,.643082820,35.96,23986612,576788,24563400
55,24267712,.575968604,40.17,24085062,577281,24662343
56,24284353,.569057176,40.68,24243694,578301,24821995
57,24323473,.650606613,35.64,24508752,579084,25087836
58,24423603,.595005916,39.14,24839103,579928,25419031
59,24423710,.507460787,45.89,24901525,580164,25481689
60,24423710,.521256551,44.68,24962762,580400,25543162
61,24449714,.578264045,40.31,25202750,581268,25784018
62,24453225,.546963929,42.63,25297808,581504,25879312
63,24518300,.634188410,36.86,25656664,583052,26239716
64,24587351,.688417228,34.04,26115177,584473,26699650
65,24672162,.614728438,38.26,26412238,586336,26998574
66,24791802,.761421600,31.04,26996165,588350,27584515
67,24828042,.612567391,38.64,27240324,589034,27829358
68,24857708,.634171239,37.37,27566078,589534,28155612
69,24883530,.640504761,37.04,27798380,589770,28388150
70,24975182,.685551589,34.73,28249478,591294,28840772
71,25003159,.641656096,37.15,28581658,592098,29173756
72,25072694,.603452626,39.62,28774514,593403,29367917
73,25082407,.651180442,36.73,29044406,593911,29638317
74,25102033,.592921580,40.35,29295221,594467,29889688
75,25117816,.582283206,41.13,29477258,594839,30072097
76,25138002,.643105773,37.27,29780460,595235,30375695
77,25140423,.522361809,45.88,29840967,595471,30436438
78,25242311,.787438754,30.56,30526259,596909,31123168
79,25230586,.683430885,35.20,30860961,596422,31457383
80,25835553,1.019546378,24.15,31807805,608189,32415994
81,25888634,.648270147,38.07,32071825,608561,32680386
82,26197707,.782523065,31.92,32465755,613043,33078798
83,26461339,.606837293,41.57,32630780,623364,33254144
84,26605974,.735757758,34.48,33032671,625496,33658167
85,26620303,.648763750,39.12,33246904,626028,33872932
86,26620246,.614286906,41.31,33328347,626264,33954611
87,27245871,.918521622,28.28,34258972,638430,34897402
88,26831239,.714924565,35.77,34570542,629677,35200219
89,27013935,.682735049,37.73,34891000,637038,35528038
90,27108796,.683598956,37.81,35235508,637316,35872824
91,27189877,.640906953,40.45,35449989,638640,36088629
92,28144208,.810295884,33.12,36043925,668075,36712000
93,29381523,1.061221514,26.40,37399703,688007,38087710
94,29542549,.897227180,31.39,38279691,692544,38972235
95,19134677,1.482913839,12.30,41731125,455777,42186902
96,17653746,1.122707134,14.99,43918332,437136,44355468
97,17104702,1.035092397,15.75,45848406,430454,46278860
98,17361383,.622567697,26.58,46610694,425987,47036681
99,17277567,1.106682839,14.88,48616204,428313,49044517
1,20237220,1.612549171,11.96,3878506,503331,4381837
2,20304307,.590279397,32.79,4330779,504302,4835081
3,20341860,.540254308,35.89,4526429,505351,5031780
4,20362280,.452823951,42.86,4652450,505889,5158339
5,20698589,.608560278,32.42,5081047,512206,5593253
6,20790499,.571697050,34.66,5406155,513320,5919475
7,20873578,.595137863,33.43,5731694,515508,6247202
8,21078740,.652695012,30.79,6269452,518851,6788303
9,21227178,.576475858,35.10,6637585,521401,7158986
10,21386004,1.854982925,10.99,10578565,525143,11103708
11,21498654,.560085122,36.60,10844373,528410,11372783
12,21507592,.501188642,40.92,10996159,528646,11524805
13,21577779,.524915836,39.18,11212300,530132,11742432
14,21563266,.478384684,42.97,11270369,529479,11799848
15,21657072,.560807168,36.82,11689427,531189,12220616
16,21788377,.614312930,33.81,12199074,532921,12731995
17,21832791,.607419081,34.27,12583494,533757,13117251
18,21833427,.474678742,43.86,12644817,533993,13178810
19,21837899,.511297195,40.71,12734203,534229,13268432
20,22086624,.733576177,28.70,13496408,536625,14033033
21,22113265,.531993016,39.62,13640747,536861,14177608
22,22473211,1.039009262,20.62,15171325,542054,15713379
23,22528807,.684442223,31.38,15743732,542978,16286710
24,22571592,.763932415,28.17,16418048,544607,16962655
25,22592770,.619426298,34.77,16749433,544810,17294243
26,22646715,.550594643,39.21,16921327,545719,17467046
27,22707852,.606767006,35.68,17250794,546888,17797682
28,22710068,.571699602,37.86,17309724,547228,17856952
29,22750440,.594608623,36.47,17581777,547736,18129513
30,22837903,.544050733,40.01,17871121,549193,18420314
31,22851488,.565117410,38.55,18170594,550149,18720743
32,22912560,.587445820,37.19,18498126,551257,19049383
33,22918926,.556088330,39.29,18663812,551493,19215305
34,22938599,.578652318,37.79,18981511,551850,19533361
35,22974213,.552836762,39.61,19213751,552518,19766269
36,23103620,.648114291,33.99,19611407,554957,20166364
37,23114914,.546188478,40.35,19770873,555478,20326351
38,23117673,.484473089,45.49,19886975,555714,20442689
39,23511769,.569608769,39.36,20132950,564422,20697372
40,23511769,.483135529,46.40,20191915,564658,20756573
41,23709439,.636086383,35.54,20494113,566930,21061043
42,23862319,.578894119,39.29,20742225,569140,21311365
43,23895213,.547719381,41.59,20992092,569721,21561813
44,24010805,.688624192,33.24,21517822,571980,22089802
45,24011659,.554180465,41.30,21597193,572216,22169409
46,24033959,.554616381,41.32,21802631,572452,22375083
47,24064386,.602077330,38.10,22060403,572952,22633355
48,24101564,.547787879,41.95,22272144,574132,22846276
49,24132508,.618133570,37.22,22535159,574344,23109503
50,24154992,.587080910,39.22,22824681,574700,23399381
51,24193274,.615918551,37.45,23113751,575648,23689399
52,24192636,.615974308,37.45,23394956,575764,23970720
53,24222621,.609376799,37.90,23648438,576272,24224710
54,24254001,.639207503,36.18,23986612,576788,24563400
55,24267712,.544945469,42.46,24085062,577281,24662343
56,24284353,.556262743,41.61,24243694,578301,24821995
57,24323473,.618561869,37.49,24508752,579084,25087836
58,24423603,.581511315,40.05,24839103,579928,25419031
