Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.683375790,19.60,12424635,152038,12576673
2,38557348,.932012226,39.45,16301829,159017,16460846
3,35738095,.601028058,56.70,16842431,158332,17000763
4,35536618,.502506988,67.44,17112634,152082,17264716
5,35538209,.452360959,74.91,17160360,152116,17312476
6,38617421,.511276249,72.01,17449813,155288,17605101
7,39142519,.572407195,65.19,17740857,161107,17901964
8,39650978,.470431150,80.37,17803808,161445,17965253
9,40425999,.527103268,73.13,18064647,162352,18226999
10,41020690,.511252396,76.51,18393375,163201,18556576
11,41585619,.486802149,81.44,18420596,163541,18584137
12,42148638,.512786325,78.37,18485866,163777,18649643
13,42776701,.503142440,81.07,18661168,165413,18826581
14,43710311,.525055018,79.38,19143449,167610,19311059
15,45486398,.682516957,63.54,19853863,168884,20022747
16,43755730,.572946305,72.81,20099461,167632,20267093
17,44354293,.433661152,97.51,20148800,168524,20317324
18,46629558,.534806282,83.13,20286731,169696,20456427
19,47239039,.527946123,85.33,20476026,175526,20651552
20,47920628,.580046356,78.78,20813017,175586,20988603
21,48925664,.701234642,66.52,21435401,180953,21616354
22,49608561,.612298523,77.26,21739461,182967,21922428
23,51207207,.788727173,61.90,23385901,185896,23571797
24,51793370,.631887973,78.16,23883844,185955,24069799
25,52385283,.565905457,88.26,24195461,186567,24382028
26,53564110,.869150639,58.77,26755714,170522,26926236
27,53989551,.666653138,77.22,27013659,189651,27203310
28,54338805,.618118221,83.83,27265154,171210,27436364
29,54985995,.580130618,90.37,27504848,175025,27679873
30,56230509,.734554975,72.99,28658773,187192,28845965
31,56278130,.518397778,103.53,28716028,187532,28903560
32,56278222,.503195611,106.65,28723734,187873,28911607
33,56278222,.502579136,106.78,28730513,188109,28918622
34,56062835,.580226652,92.13,28875235,187498,29062733
35,60945790,1.210642407,48.00,33432658,187719,33620377
36,61000908,.607342615,95.77,33608196,185731,33793927
37,59178885,1.151862343,48.99,38961999,185918,39147917
38,31068062,2.005670773,14.76,46418200,406330,46824530
39,61151151,1.111017535,52.48,47711584,205282,47916866
40,56280706,.864336943,62.09,48529218,189342,48718560
41,56241220,.755485415,70.98,49226832,191091,49417923
42,61162356,.903695223,64.53,50105370,205614,50310984
43,61162470,.572475863,101.87,50112880,205850,50318730
44,6658202,.569739438,11.12,51067444,158293,51225737
45,6671624,.265590765,23.94,51289735,158721,51448456
46,6984898,.401713758,16.57,51807484,161764,51969248
47,9227260,.592739267,14.82,52828451,168015,52996466
48,8979109,.368243124,23.24,53195754,164274,53360028
49,9034823,.327474123,26.29,53379146,166057,53545203
50,9176711,.267723294,32.68,53574476,168515,53742991
51,9189389,.245434752,35.69,53689356,168607,53857963
52,9209694,.314842414,27.88,53738306,168843,53907149
53,9245107,.309455578,28.46,53918103,169727,54087830
54,9245997,.326454134,26.98,54206111,168881,54374992
55,9485431,.411844824,21.95,54723662,175526,54899188
56,9162148,.288695748,30.23,54841168,169157,55010325
57,9471559,.302639038,29.83,55100141,169314,55269455
58,9169132,.249173509,35.07,55219125,169757,55388882
59,9542925,.382690165,23.77,55660106,176935,55837041
60,9548647,.252863283,35.98,55710120,177171,55887291
61,10752056,.580282191,17.66,56909685,188018,57097703
62,10790619,.547359492,18.79,57817973,190176,58008149
63,10801329,.304445494,33.83,57992087,190779,58182866
64,11096549,.413541330,25.58,58556573,193435,58750008
65,10801642,.318799577,32.30,58591315,191251,58782566
66,10982102,.394753370,26.52,58864294,193019,59057313
67,11100834,.284268096,37.21,59059630,193999,59253629
68,11360361,.399394548,27.11,59525170,197619,59722789
69,11402724,.334724815,32.47,59705740,197952,59903692
70,11703223,.401537627,27.79,60202594,205614,60408208
71,11420117,.323736791,33.63,60319818,198657,60518475
72,11903936,.410663451,27.63,60782055,207498,60989553
73,11719542,.326422699,34.21,61009237,206912,61216149
74,11908987,.324653123,34.96,61084033,207970,61292003
75,11961218,.343812739,33.15,61332899,208662,61541561
76,11972802,.293988773,38.81,61406240,208898,61615138
77,11990287,.308672780,37.02,61494458,209134,61703592
78,12056274,.301794757,38.07,61638199,209514,61847713
79,12069646,.321379098,35.81,61744610,209750,61954360
80,12940032,.618112062,19.96,62827788,221245,63049033
81,12149457,.510553280,22.68,63401406,214275,63615681
82,12940032,.365240875,33.78,63402716,221717,63624433
83,15778518,.755971693,19.89,64862814,278372,65141186
84,15778779,.340993997,44.10,64879439,278608,65158047
85,15778786,.390782633,38.48,64932844,278844,65211688
86,15871648,.569402735,26.57,65777764,280378,66058142
87,16341090,.523405935,29.76,66337485,286679,66624164
88,16570602,.846525412,18.66,67881053,287626,68168679
89,16560393,.372166720,42.42,68093016,287862,68380878
90,31068062,.665807141,44.48,68094327,418602,68512929
91,19257030,.516072841,35.57,68324003,315769,68639772
92,19257196,.346535779,52.98,68336872,316005,68652877
93,19254232,.391788794,46.86,68348879,316241,68665120
94,24097471,1.452513407,15.82,71743593,401905,72145498
95,24312533,.752677678,30.79,72987817,402057,73389874
96,24484590,.886380565,26.34,74162372,404802,74567174
97,24511611,.496648974,47.05,74480326,405150,74885476
98,24511689,.473049648,49.40,74499514,405386,74904900
99,38230903,3.021259529,12.06,81935065,1198403,83133468
100,34457680,1.934646160,16.98,85623171,1084244,86707415
1,34616457,1.823612056,18.10,12424635,152038,12576673
2,38557348,.924472781,39.77,16301829,159017,16460846
3,35738095,.611479277,55.73,16842431,158332,17000763
4,35536618,.489772685,69.19,17112634,152082,17264716
5,35538209,.428226869,79.14,17160360,152116,17312476
6,38617421,.504248129,73.01,17449813,155288,17605101
7,39142519,.542396665,68.80,17740857,161107,17901964
8,39650978,.402463934,93.94,17803808,161445,17965253
9,40425999,.496009402,77.72,18064647,162352,18226999
10,41020690,.543575186,71.96,18393375,163201,18556576
11,41585619,.407991190,97.18,18420596,163541,18584137
12,42148638,.436162112,92.14,18485866,163777,18649643
13,42776701,.451123143,90.41,18661168,165413,18826581
14,43710311,.484146617,86.08,19143449,167610,19311059
15,45486398,.658536526,65.85,19853863,168884,20022747
16,43755730,.524283072,79.57,20099461,167632,20267093
17,44354293,.429650052,98.42,20148800,168524,20317324
18,46629558,.513832843,86.52,20286731,169696,20456427
19,47239039,.521622770,86.36,20476026,175526,20651552
20,47920628,.593784128,76.96,20813017,175586,20988603
21,48925664,.636655634,73.27,21435401,180953,21616354
22,49608561,.587019312,80.59,21739461,182967,21922428
23,51207207,.795526263,61.38,23385901,185896,23571797
24,51793370,.591026524,83.56,23883844,185955,24069799
25,52385283,.585760422,85.27,24195461,186567,24382028
26,53564110,.884702286,57.73,26755714,170522,26926236
27,53989551,.622407418,82.71,27013659,189651,27203310
28,54338805,.572641483,90.49,27265154,171210,27436364
29,54985995,.555225525,94.43,27504848,175025,27679873
30,56230509,.790792149,67.80,28658773,187192,28845965
31,56278130,.542736152,98.88,28716028,187532,28903560
32,56278222,.517758659,103.65,28723734,187873,28911607
33,56278222,.494339879,108.56,28730513,188109,28918622
34,56062835,.573834751,93.16,28875235,187498,29062733
35,60945790,1.210882509,47.99,33432658,187719,33620377
36,61000908,.633496346,91.82,33608196,185731,33793927
37,59178885,1.134636528,49.73,38961999,185918,39147917
38,31068062,2.015078012,14.69,46418200,406330,46824530
39,61151151,1.107152042,52.66,47711584,205282,47916866
40,56280706,.898326995,59.74,48529218,189342,48718560
41,56241220,.771418603,69.52,49226832,191091,49417923
42,61162356,.885425400,65.86,50105370,205614,50310984
43,61162470,.531192795,109.79,50112880,205850,50318730
44,6658202,.594584871,10.66,51067444,158293,51225737
45,6671624,.263700899,24.11,51289735,158721,51448456
46,6984898,.431064178,15.45,51807484,161764,51969248
47,9227260,.583743679,15.05,52828451,168015,52996466
48,8979109,.330998692,25.86,53195754,164274,53360028
49,9034823,.276037953,31.19,53379146,166057,53545203
50,9176711,.266010693,32.89,53574476,168515,53742991
51,9189389,.272522835,32.14,53689356,168607,53857963
52,9209694,.273111722,32.14,53738306,168843,53907149
53,9245107,.360054264,24.46,53918103,169727,54087830
54,9245997,.292139572,30.15,54206111,168881,54374992
55,9485431,.391175387,23.10,54723662,175526,54899188
56,9162148,.328922419,26.54,54841168,169157,55010325
57,9471559,.266568916,33.87,55100141,169314,55269455
58,9169132,.287776617,30.37,55219125,169757,55388882
59,9542925,.383674646,23.71,55660106,176935,55837041
60,9548647,.260809614,34.89,55706024,177171,55883195
61,10752056,.629292933,16.28,56905589,188018,57093607
62,10790619,.539034260,19.08,57813877,190176,58004053
63,10801329,.288844210,35.65,57992087,190779,58182866
64,11096549,.449260547,23.54,58556573,193435,58750008
65,10801642,.288136502,35.74,58591315,191251,58782566
66,10982102,.357996927,29.24,58864294,193019,59057313
67,11100834,.335957572,31.49,59059630,193999,59253629
68,11360361,.461489359,23.46,59529266,197619,59726885
69,11402724,.291867246,37.24,59709836,197952,59907788
70,11703223,.415721342,26.84,60206690,205614,60412304
71,11420117,.320473744,33.98,60319818,198657,60518475
72,11903936,.482540878,23.52,60782055,207498,60989553
73,11719542,.393485727,28.38,61009237,206912,61216149
74,11908987,.347742653,32.63,61084033,207970,61292003
75,11961218,.317638698,35.88,61332899,208662,61541561
76,11972802,.324303007,35.18,61406240,208898,61615138
77,11990287,.297260131,38.45,61494458,209134,61703592
78,12056274,.348180224,33.00,61638199,209514,61847713
79,12069646,.322813519,35.65,61744610,209750,61954360
80,12940032,.625789016,19.71,62827788,221245,63049033
81,12149457,.496129271,23.34,63401406,214275,63615681
82,12940032,.380446054,32.43,63402716,221717,63624433
83,15778518,.732459788,20.53,64862814,278372,65141186
84,15778779,.300307296,50.08,64879439,278608,65158047
85,15778786,.345971520,43.47,64932844,278844,65211688
86,15871648,.653578281,23.14,65777764,280378,66058142
87,16341090,.525077191,29.67,66337485,286679,66624164
88,16570602,.853905693,18.50,67881053,287626,68168679
89,16560393,.372472058,42.39,68093016,287862,68380878
90,31068062,.664881735,44.54,68094327,418602,68512929
91,19257030,.530627746,34.60,68324003,315769,68639772
92,19257196,.421252778,43.58,68336872,316005,68652877
93,19254232,.328837083,55.83,68348879,316241,68665120
94,24097471,1.409130473,16.30,71743593,401905,72145498
95,24312533,.743972517,31.15,72987817,402057,73389874
96,24484590,.727087875,32.11,74162372,404802,74567174
97,24511611,.505794720,46.20,74480326,405150,74885476
98,24511689,.410173310,56.97,74499514,405386,74904900
99,38230903,3.097528018,11.76,81935065,1198403,83133468
100,34457680,1.688938978,19.45,85623171,1084244,86707415
1,34616457,1.682740122,19.61,12424635,152038,12576673
2,38557348,.897552085,40.96,16301829,159017,16460846
3,35738095,.575051875,59.26,16842431,158332,17000763
