Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,a6c036d5a796f22624ffbf2f0da80f9480d362d3,15490466,.436464396,33.84
2,8dfba9e8651a584e6cb8b6e4ace776324ab751ee,18990895,.339069522,53.41
3,6e7b2d0ae296d9e34cc9a463fe673f53947eeed0,15715072,.226039492,66.27
4,1cc370c69063b13f8307492215f2656e6cd03d53,15513595,.251190596,58.87
5,77911b76357ea9b50cd16c35dd17475fb37818e5,15515186,.152703964,96.85
6,e8d3641dc60d4ad1d97d0a49bb8ed2475ea517e4,18594398,.201018707,88.20
7,2f5508025a217c3a087f7a377fcf97c18e132e4c,19072981,.221016160,82.25
8,9f023fbc08e082990dc7979df6617e5c2955f225,19077260,.257319876,70.69
9,a398d3f7c5c9656290f1218206bb97918f51dee1,19348590,.167950100,109.85
10,f19ec5741c0c3e3a54bee2ba00c28f4d9eec9321,19380076,.273843924,67.48
11,b58251f6a4dea622cc376fdf956d136b84c8a237,19382056,.206038313,89.69
12,d1b13bcdf82d08cd99cb1de40ae0862db09958ec,19382115,.229913815,80.37
13,d4932a86bb74b237f40c8ccab57d282cb5e06244,19446984,.203109611,91.28
14,4edad8dbf21b9cd56e1ac4687b6043833e4973d7,19817054,.228953610,82.50
15,366519e47b3878e57dfe564bc1a4f7c3f61fe8e2,20447014,.203427055,95.80
16,d2e25fe5c8b0f6fde260c154be1d1b3303367867,19862473,.251181350,75.40
17,f3ceaf8dc536d4cf3d7313bf7c466575a9fbd52a,19890956,.242024690,78.33
18,81d17b1f168d05ac8ccce9e137bd232b6dd00e5e,20490464,.228302530,85.58
19,aee097cd31a6edbcc0c72255768ac2f5148caef4,20575954,.249346888,78.68
20,b96e2bcf17192fd09238493d527393fd86b18e19,20729408,.243184051,81.25
21,3ce8e4c09ece247baf0d52e3364c28c81381695e,20965549,.282143081,70.85
22,fa627ccd7fc3e2f914f3bec0acde7bec640661c5,21076380,.251247286,80.00
23,dc6b8782ea5f8f90f1d517df97d24e9e45149114,22127691,.254638937,82.86
24,9998eb05b925c68f32a26bf893460961a678ebb9,22147585,.225272930,93.75
25,dfa158ac8f227d1c12103ba9c62c886c2f02478d,22185772,.401942780,52.61
26,711ddc1787d88140ff44ada13109619ce382de7f,22814192,.361526626,60.16
27,c52d29b6e27255c3c125ff87900a335b8cb185cf,23235537,.394348277,56.16
28,c4483bcd49d52f2bc05e4648fcac6e19b5dec9ba,22958718,.329874011,66.35
29,0f35290547c2b94053656646d068d50f16238c3c,23019155,.443830084,49.45
30,19579fdc34f548fe4c6322ab899fad4fa928b23e,24249933,.375594217,61.55
31,ac89988b49b73df703f435b045f71f9db88dfc02,24263899,.243138343,95.13
32,c72196cbffbb4ee33c7f5ab4f9616330395deb61,24263991,.199942592,115.68
33,cb15e0067fffc29f4097e45fa45b24a444816385,24263991,.268747652,86.06
34,4a03f7391087391dcddd236758a39f77efc1ce69,24048604,.249038027,92.07
35,caede3049d277a0e3c711768a59d87d92138e8c2,30238070,.292607646,98.52
36,918a186eb6429cb017be03d2131b0aebcff9672b,30293188,.272145866,106.11
37,37cc474ceb9a87f5b774e15f59b9feb0e931270d,28471165,.412246178,65.85
38,69dc39149503dcc0e00a61288cc2182772489524,30729652,.248698996,117.81
39,b4a442bb6ea991b93b972e3028519d0911d04473,30455578,.527793797,55.02
40,a48646f3e1129300dff856971a6c169f461692ec,24313879,.352344330,65.78
41,d4dd4810a1a38d3776df001b86d9a6550be0c6d8,24251954,.332922942,69.44
42,215a6a7b58c4c5d3b445e0bf65088cbdf5f2d0b0,30466783,.492050949,59.03
43,3c777964983df6552d7b6f42c9ecc0327faa124b,30466897,.346848571,83.75
44,f2313eba31f54eac8af5b1383147d7615fb70f9a,6658202,.126024631,50.30
45,b590074fedf3882d7524f068f3158cd599805a21,6671624,.130189588,48.85
46,f488c2934b23dca010f2b972d3e653cc1a15b8b8,6984898,.120275883,55.37
47,b84868f571d35efdb91e5002f9c6cfbaebaff463,9227260,.240362265,36.56
48,b5bab875d3bdf5acb2856c1352445896376840fb,8979109,.204426121,41.87
49,18f831483078729e0080e78dfa3761ddc49208ed,9034823,.236644991,36.38
50,9862695e0938f60d534a753908ee00630c74eddd,9176711,.196304039,44.57
51,5d89bf00d017d0e997f2e86229a3c33a96dab829,9189389,.220618560,39.70
52,f11f9b1d7d7a9a07c8c1a0f26e4cd4ce698cd4d4,9209694,.153111061,57.34
53,3f78809b967622a3c9a1e3c3acf143fd8488c0cb,9245107,.135855713,64.84
54,72777226d2fba81924da55dbbf0a5635c09ff774,9245997,.134736508,65.38
55,90a441a49ae937a422c5a3cd86654b80242e772f,9485431,.164700704,54.88
56,490451e21867853b4900060bd16b1c6146722005,9162148,.164566718,53.04
57,6c0a0483960c6a80dc3e23266ed5439aac30c5fc,9471559,.166741278,54.15
58,da25fbf67e8095d4448d83e888886663360a7d53,9169132,.083515885,104.65
59,c2c15dddcfc164456b6e37f12685946077ac6957,9542925,.083171900,109.41
