Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.368117203,.002711679,35.370828882
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.132597351,.000566929,13.133164280
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1076.593721678,.002900755,1076.596622433
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,59.221136862,.000512402,59.221649264
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.149474630,.000555780,66.150030410
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.151486780,.000569262,211.152056042
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3358.011515897,.000837542,3358.012353439
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3405.491306073,.002599898,3405.493905971
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.118371348,.002747510,35.121118858
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.280469044,.002839622,13.283308666
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1081.312745154,.000839576,1081.313584730
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.614722961,.000513491,58.615236452
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.410429150,.000546591,66.410975741
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,211.604487477,.000535900,211.605023377
linux-repack,205211416948,6016975226,8750495,6025725721,34.1054,34.0558,3350.503622333,.000591446,3350.504213779
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3404.318921659,.002921845,3404.321843504
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.350942807,.001869883,34.352812690
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.981846552,.000524981,12.982371533
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1078.312544804,.000511639,1078.313056443
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.232214128,.000456581,58.232670709
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.212992010,.000501755,66.213493765
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.621967610,.000533634,209.622501244
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3351.988389738,.000515965,3351.988905703
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3405.648781986,.001939722,3405.650721708
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.350942807,.001869883,34.352812690
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.981846552,.000524981,12.982371533
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1078.312544804,.000511639,1078.313056443
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.232214128,.000456581,58.232670709
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,66.212992010,.000501755,66.213493765
