Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,151.244304136,18.24,470204134,4978375,475182509
2,2903100297,25.830508362,107.18,479393416,4994488,484387904
3,2881462834,26.451861083,103.88,486698561,4961833,491660394
4,2922130606,26.569051347,104.88,494495287,5354387,499849674
5,2895546390,26.345452326,104.81,500997335,5313628,506310963
6,2927986922,26.922697194,103.71,507315302,5363263,512678565
7,2928351910,26.039675695,107.24,515446316,5364245,520810561
8,2959977391,33.863838297,83.35,522794599,6324559,529119158
9,2942618555,180.362600538,15.55,528356688,6292084,534648772
10,2942116427,32.084606557,87.45,533901433,6294434,540195867
11,2920556300,31.825378271,87.51,537700818,6256382,543957200
12,2918667000,31.690002603,87.83,542405908,6256707,548662615
13,2965411592,35.696978412,79.22,551132189,6371081,557503270
14,2942774093,33.289088518,84.30,557129097,6292348,563421445
15,2963781990,32.636300732,86.60,561162333,6321809,567484142
16,2958441649,31.676907646,89.06,564466276,6318484,570784760
17,3002117829,33.629784657,85.13,569161083,6438021,575599104
18,3022834252,31.645155835,91.09,573688425,6472930,580161355
19,3025366345,31.973153486,90.23,577708392,6478095,584186487
20,3003673086,33.493712091,85.52,582459221,6398617,588857838
21,2954336947,31.687630848,88.91,586964079,6313641,593277720
22,2913028259,33.108706136,83.90,591722107,6243668,597965775
23,2885221566,35.054749474,78.49,596219465,6196208,602415673
24,2874752789,31.843287855,86.09,600639331,6172260,606811591
25,2889635810,34.067015384,80.89,604437118,6197814,610634932
26,2897811142,31.222731471,88.51,607794977,6211873,614006850
27,2888732397,35.003103376,78.70,612148163,6197890,618346053
28,2887493021,31.591834241,87.16,615785585,6193731,621979316
29,2894631484,31.667358742,87.17,620127576,6203845,626331421
30,2898888817,32.033695586,86.30,624630666,6209446,630840112
31,2913442241,31.713603410,87.61,629686940,6235377,635922317
32,2876263451,31.774308882,86.32,633013645,6172586,639186231
33,2841581538,29.800241005,90.93,636154399,6114414,642268813
34,2889946546,55.375699551,49.77,719469049,6192819,725661868
35,2904322746,52.960677022,52.29,792989350,6216725,799206075
36,2916945453,47.972990655,57.98,848673188,6240041,854913229
37,2909444762,47.239874711,58.73,898521703,6227272,904748975
38,2932161032,46.026492069,60.75,938408289,6263221,944671510
39,2909333243,42.064287816,65.95,970474810,6224118,976698928
40,2909799725,43.134191885,64.33,1003185797,6224264,1009410061
41,2931458560,43.448038928,64.34,1034403732,6259654,1040663386
42,2909014987,41.976446357,66.09,1060880150,6222454,1067102604
43,2908104297,41.166399752,67.36,1084565235,6221172,1090786407
44,2911263232,42.013408692,66.08,1103287234,6225627,1109512861
45,2895343856,44.363245755,62.24,1120626570,6199344,1126825914
46,2913888345,40.060230762,69.36,1133412401,6231387,1139643788
47,2934066524,43.068653060,64.96,1147357573,6265855,1153623428
48,2934035463,37.809971179,74.00,1159996287,6264457,1166260744
49,2938467793,40.840095475,68.61,1175300635,6274970,1181575605
50,2914216454,39.322418137,70.67,1189327877,6229663,1195557540
51,2936771266,40.637347355,68.91,1211181166,6270759,1217451925
52,2885231012,36.706485280,74.96,1221359737,6172496,1227532233
53,2888005688,34.112295307,80.73,1228293987,6179760,1234473747
54,2908036703,31.722721332,87.42,1232200281,6209937,1238410218
55,2917624970,31.893140653,87.24,1236660519,6226145,1242886664
56,2914291430,33.404458455,83.20,1242859899,6229964,1249089863
57,2929640541,33.012134747,84.63,1250359343,6255286,1256614629
58,2914994102,31.718763625,87.64,1254191764,6228682,1260420446
59,2919927888,34.982314376,79.60,1259508439,6237565,1265746004
60,2922457317,31.696804380,87.92,1262721541,6238593,1268960134
61,2923544017,31.782797503,87.72,1266243886,6240044,1272483930
62,2923906078,32.093816602,86.88,1270580721,6242739,1276823460
63,2939173097,33.443541854,83.81,1276085490,6275092,1282360582
64,2911403752,33.225881359,83.56,1280709558,6224686,1286934244
65,2920658048,33.327786875,83.57,1285441700,6241582,1291683282
66,2889515139,32.209110201,85.55,1289398671,6190180,1295588851
67,2912341427,31.842719225,87.22,1292873885,6228594,1299102479
68,2915158544,31.735854727,87.60,1296138393,6235750,1302374143
69,2909680624,31.934874732,86.89,1300333028,6223901,1306556929
70,2925838440,33.783484519,82.59,1304544888,6249918,1310794806
71,2941438748,33.516678093,83.69,1308968495,6275815,1315244310
72,2963096568,31.656021838,89.26,1313618050,6308793,1319926843
73,2944045198,33.190294761,84.59,1318385567,6275760,1324661327
74,2934060714,35.911307755,77.91,1321904520,6262662,1328167182
75,2969511599,34.242858027,82.70,1325315252,6321303,1331636555
76,2982592957,32.971624841,86.26,1329277871,6340687,1335618558
77,2980245305,35.562789247,79.92,1333067317,6334401,1339401718
78,2990856249,32.171164549,88.66,1337104665,6352986,1343457651
79,2978016335,33.574296229,84.59,1341463005,6336977,1347799982
80,2993731446,36.017188879,79.26,1345480090,6363026,1351843116
81,2957052307,34.200790341,82.45,1348941162,6297096,1355238258
82,2965514380,32.910595471,85.93,1352364221,6310463,1358674684
83,2980400979,35.824908987,79.33,1359684467,6333488,1366017955
84,2986199022,32.489626651,87.65,1363531497,6347046,1369878543
85,2985530551,31.789980122,89.56,1367505133,6347312,1373852445
86,2955359825,31.471285939,89.55,1373058585,6298239,1379356824
87,2962001643,35.824128043,78.85,1378567550,6306756,1384874306
88,2954153471,31.620288438,89.09,1381701085,6291159,1387992244
89,2981102134,31.802245328,89.39,1384960648,6337394,1391298042
90,2987070817,34.445493188,82.70,1391693865,6336143,1398030008
91,2968327047,32.006725118,88.44,1395962258,6307018,1402269276
92,2997313589,31.770227442,89.97,1400069467,6359478,1406428945
93,2996490034,34.194902043,83.57,1404331918,6359724,1410691642
94,2999595066,33.160088825,86.26,1409465415,6364981,1415830396
95,2998331717,33.640874070,84.99,1413826228,6367129,1420193357
96,3002090481,34.913635151,82.00,1419104011,6374979,1425478990
97,2984726397,31.654948663,89.92,1421557770,6344132,1427901902
98,3002824091,31.872742501,89.84,1424798691,6373980,1431172671
99,3056161461,33.387223092,87.29,1428934583,6458348,1435392931
100,3041192998,34.199878122,84.80,1433409832,6433292,1439843124
101,3025812882,31.729595986,90.94,1437603373,6412396,1444015769
102,3004960304,33.407308171,85.78,1441253968,6373058,1447627026
