Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.759768569,3.17,767999,108042,876041
2,3142928,.443797573,6.73,1525973,118167,1644140
3,3167216,.452469872,6.67,1990816,118841,2109657
4,3167983,.221108409,13.65,2359440,119331,2478771
5,3183711,.254080834,11.92,2702071,119829,2821900
6,2784073,.360696288,7.34,3177239,112716,3289955
7,2787160,.233201658,11.36,3374113,112950,3487063
8,3197956,.317230882,9.58,3755174,120699,3875873
9,3382358,.324527700,9.92,4322729,123565,4446294
10,3404072,.273047389,11.86,4771294,123970,4895264
11,3224021,.263905082,11.63,5145020,121670,5266690
12,3233356,.269732758,11.41,5536915,121986,5658901
13,3236663,.215503863,14.29,5669086,122310,5791396
14,3294796,.270545441,11.60,6089645,122874,6212519
15,3295068,.248443678,12.63,6226661,123110,6349771
16,3302334,.282924254,11.09,6607162,123434,6730596
17,3294749,.209226366,15.00,6905783,123670,7029453
18,3300186,.251937162,12.46,7197897,124066,7321963
19,3392266,.261511971,12.35,7565245,126094,7691339
20,3843754,.555564136,6.58,8746686,131399,8878085
21,3397020,.352501803,9.16,9133380,126646,9260026
22,3453396,.375818334,8.75,9553985,127058,9681043
23,3470840,.338513223,9.77,9988566,127470,10116036
24,3518664,.328536973,10.19,10438950,128042,10566992
25,3525648,.330587914,10.16,10937210,128446,11065656
26,3575277,.424940069,8.00,11567920,129362,11697282
27,3574473,.306378318,11.09,11947683,129598,12077281
28,3865717,.383019300,9.60,12447613,133791,12581404
29,3968673,.351895346,10.74,13266223,135027,13401250
30,1503895,.260654816,5.48,13645735,95782,13741517
31,1992552,.329710381,5.76,14151179,110155,14261334
32,2532649,.188934989,12.75,14152490,115343,14267833
33,3197956,.203131939,14.96,14153801,126598,14280399
34,3392266,.154128008,20.95,14155113,129634,14284747
35,3865717,.220430862,16.69,14156424,135443,14291867
36,1721621,.277803620,5.90,14652198,107527,14759725
37,1213331,.185409748,6.20,14854169,93865,14948034
38,1725648,.187426140,8.75,15082260,107823,15190083
39,2038112,.208257497,9.31,15330285,113651,15443936
40,2789653,.218396745,12.17,15461601,120823,15582424
41,3301781,.257260895,12.20,15600384,129494,15729878
42,3576601,.261002082,13.06,15889993,133138,16023131
43,1992652,.206076609,9.21,16176327,108755,16285082
44,1563869,.209127220,7.12,16377034,101374,16478408
45,1581556,.141109740,10.63,16544435,102482,16646917
46,6155970,.681793583,8.60,18636202,192117,18828319
47,1289577,.241536866,5.05,18924631,94298,19018929
48,1192592,.204279675,5.53,19182534,93110,19275644
49,1217769,.161640260,7.17,19348223,99913,19448136
50,1531623,.179389545,8.13,19548019,101342,19649361
51,1224559,.150438832,7.71,19679592,100305,19779897
52,1205007,.136559202,8.34,19765557,99669,19865226
53,4365323,.528287951,7.87,20914357,148589,21062946
54,4031337,.381356002,10.06,21482119,141951,21624070
55,4090535,.317362892,12.28,22048675,142971,22191646
56,4418417,.584902902,7.19,23188987,150529,23339516
57,6229166,.591557038,10.04,24978727,190387,25169114
58,6254372,.242292355,24.59,25224989,190975,25415964
59,4455956,.321916454,13.17,25715339,151749,25867088
60,5140197,.598594289,8.18,27023209,167310,27190519
61,5145432,.264908068,18.49,27388031,167546,27555577
62,4928187,.291007693,16.11,28013572,169235,28182807
63,4932535,.308492734,15.23,28343654,169479,28513133
64,4974578,.318554276,14.87,28686496,170827,28857323
65,4977919,.267991721,17.68,28940195,170975,29111170
66,4980576,.321334290,14.75,29092971,171299,29264270
67,4981037,.215954240,21.99,29137451,171535,29308986
68,6260836,.322773764,18.49,29474983,193503,29668486
69,6390362,.712726897,8.54,31364989,196252,31561241
70,6313586,.479440827,12.55,32053990,194951,32248941
71,6318595,.205115464,29.34,32194476,195216,32389692
72,6347171,.631517489,9.58,33647354,196500,33843854
73,6341402,.381401994,15.83,34437900,196024,34633924
74,6347055,.262284277,23.06,34886337,196516,35082853
75,6359818,.308887404,19.61,35303542,197088,35500630
76,6391647,.237569815,25.63,35599082,197628,35796710
77,6391642,.279387909,21.79,35691176,198140,35889316
78,6538345,.831813725,7.48,37933680,202860,38136540
79,6401540,.438841186,13.90,38781613,199364,38980977
80,6404317,.242765122,25.12,39115906,199480,39315386
81,6434296,.272400756,22.50,39528749,200076,39728825
82,6435221,.265937412,23.05,39877413,200312,40077725
83,6434662,.319683453,19.17,40281484,200724,40482208
84,6436136,.204429800,29.98,40385688,200960,40586648
85,6444754,.222374505,27.61,40595783,201652,40797435
86,6549675,.214269597,29.12,40807123,205524,41012647
87,6556548,.230859468,27.07,41168554,205792,41374346
88,6575834,.829562019,7.55,43310045,206852,43516897
89,6642067,.914660128,6.92,45578193,207160,45785353
90,6661426,.870186500,7.29,47855203,207927,48063130
91,6901603,.928343433,7.08,50238721,210515,50449236
92,6663011,.451896999,14.05,50615087,208479,50823566
93,6670050,.843985653,7.53,52880607,208899,53089506
94,6815532,.355580725,18.25,53579240,209871,53789111
95,6843458,.851685034,7.65,55880013,210443,56090456
96,6848945,.302383893,21.59,56344983,210679,56555662
97,6925867,1.633709239,4.03,58666281,211931,58878212
98,6936541,1.063948936,6.21,59673073,212271,59885344
99,6944582,.945813487,6.99,59958609,212587,60171196
100,4959238,1.134291249,4.16,60551469,179576,60731045
