Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.599428550,3.46,494021,119468,613489
2,2757185,.385317377,6.79,984098,134541,1118639
3,3117942,.442876295,6.70,1457670,142065,1599735
4,3134771,.278993900,10.68,1556557,142716,1699273
5,3179275,.305221868,9.92,1716550,143806,1860356
6,3428842,.296959353,10.97,2132149,146894,2279043
7,3426700,.257837921,12.64,2180370,147128,2327498
8,8486332,.697601769,11.59,4058796,172351,4231147
9,10980071,.443130139,23.62,4973707,186150,5159857
10,11100568,.393326303,26.89,5520219,188201,5708420
11,11106769,.314860143,33.63,5611604,188622,5800226
12,11586094,.542130103,20.36,6502002,200205,6702207
13,9302953,.581146179,15.26,7570891,202202,7773093
14,9617771,.460624874,19.90,8347777,204111,8551888
15,9734271,.450027561,20.62,9133122,206108,9339230
16,9755607,.492385936,18.88,10013215,206563,10219778
17,9876379,.590336610,15.94,11038744,216026,11254770
18,10073460,.516237671,18.59,11779372,225776,12005148
19,10103074,.500216228,19.25,12236401,226388,12462789
20,10154343,.629569927,15.37,13368147,227137,13595284
21,10239329,.385271951,25.33,13905432,227667,14133099
22,10298229,.404692595,24.26,14379381,227999,14607380
23,10422176,.517979512,19.17,15163081,230339,15393420
24,10970042,.548835781,19.05,16049594,233855,16283449
25,11070098,.405089239,26.04,16625422,233793,16859215
26,11178454,.392427707,27.16,17163260,234381,17397641
27,11476317,.495263631,22.08,18064639,236474,18301113
28,11653108,.484741355,22.91,18938392,234708,19173100
