Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,999657,.878755428,1.08,243524,71027,314551
2,895347,.183916853,4.62,408876,71313,480189
3,836938,.203595256,3.88,475799,71387,547186
4,838048,.224236050,3.52,538041,71621,609662
5,2532649,.438560078,5.49,1293780,108978,1402758
6,3142928,.433272900,6.90,2051756,119103,2170859
7,3167216,.376395030,8.02,2516600,119777,2636377
8,3167983,.246003254,12.27,2885225,120267,3005492
9,3183711,.282336397,10.73,3227856,120765,3348621
10,2784073,.267680232,9.89,3703024,113655,3816679
11,2787160,.182488813,14.52,3899899,113891,4013790
12,3197956,.319153000,9.52,4280962,121642,4402604
13,3382358,.277668062,11.59,4848517,124510,4973027
14,3404072,.253026038,12.80,5297081,124914,5421995
15,3224021,.243185447,12.62,5670806,122614,5793420
16,3233356,.207329063,14.85,6062702,122930,6185632
17,3236663,.161754910,19.04,6194874,123254,6318128
18,3294796,.230226550,13.63,6615435,123818,6739253
19,3295068,.153211700,20.49,6752451,124054,6876505
20,3302334,.250832856,12.51,7132950,124378,7257328
21,3294749,.199893076,15.70,7431571,124614,7556185
22,3300186,.251176355,12.50,7723685,125010,7848695
23,3392266,.231316267,13.96,8091034,127038,8218072
24,3843754,.593211365,6.16,9272476,132343,9404819
25,3397020,.374006659,8.63,9659169,127590,9786759
26,3453396,.300627849,10.94,10079774,128002,10207776
27,3470840,.224492677,14.74,10514355,128414,10642769
28,3518664,.246079255,13.61,10964739,128986,11093725
29,3525648,.263333992,12.75,11463001,129390,11592391
30,3575277,.340952245,9.97,12093711,130306,12224017
31,3574473,.202400840,16.79,12481665,130542,12612207
32,3865717,.255339102,14.41,12981596,134735,13116331
33,3968673,.372599087,10.14,13800208,135971,13936179
34,1503895,.251848025,5.67,14179720,96726,14276446
35,1992552,.293187216,6.48,14676973,111099,14788072
36,2532649,.181962852,13.24,14678284,116287,14794571
37,3197956,.228098665,13.32,14679596,127542,14807138
38,3392266,.211341797,15.28,14680907,130578,14811485
39,3865717,.237315480,15.50,14682218,136387,14818605
40,1721621,.326023598,5.03,15177991,108471,15286462
41,1213331,.160388510,7.17,15379964,94809,15474773
42,1725648,.201632871,8.13,15608054,108767,15716821
43,2038112,.199176363,9.74,15856079,114595,15970674
44,2789653,.244817986,10.86,15987395,121767,16109162
45,3301781,.228206770,13.75,16126181,130438,16256619
46,3576601,.278972228,12.22,16415789,134082,16549871
47,1992652,.224330348,8.46,16702123,109699,16811822
48,1563869,.187358450,7.95,16902830,102318,17005148
49,1581556,.136661068,10.97,17070232,103426,17173658
50,6155970,.698286773,8.40,19162001,193061,19355062
51,1289577,.247840457,4.92,19450434,95242,19545676
52,1192592,.178962847,6.31,19708338,94054,19802392
53,1217769,.170334232,6.81,19874026,100857,19974883
54,1531623,.201468268,7.24,20073820,102286,20176106
55,1224559,.121263557,9.56,20205395,101249,20306644
56,1205007,.118586666,9.61,20291358,100613,20391971
57,557348,.172106366,3.07,20449119,78801,20527920
58,588047,.093546396,5.98,20516899,79400,20596299
59,589055,.118845304,4.71,20544117,79548,20623665
60,598255,.137513911,4.14,20655958,80905,20736863
61,598991,.127497326,4.47,20708329,81141,20789470
62,599196,.140984440,4.04,20726713,81377,20808090
63,745787,.153591584,4.62,20889750,82874,20972624
64,759534,.142750804,5.04,20955460,83110,21038570
65,762162,.172931661,4.16,20988705,83338,21072043
66,762382,.154254559,4.66,21015684,83574,21099258
67,762488,.089432901,8.05,21034887,83890,21118777
68,744146,.152938191,4.57,21096284,84126,21180410
69,743951,.225397669,3.10,21143383,84362,21227745
70,748336,.176796650,4.01,21219797,84318,21304115
71,775831,.135526071,5.38,21316930,84650,21401580
72,778381,.102574271,7.21,21368960,84886,21453846
73,778772,.127724329,5.79,21396724,85122,21481846
74,779241,.175097606,4.22,21440486,85358,21525844
75,4365323,.437925841,9.49,22589287,153781,22743068
76,4031337,.389303335,9.86,23157049,147143,23304192
77,4090535,.274379062,14.21,23723606,148163,23871769
78,4418417,.533640749,7.88,24863917,155721,25019638
79,6229166,.598470358,9.92,26653656,195579,26849235
80,6254372,.230278081,25.88,26899917,196167,27096084
81,4455956,.322121028,13.16,27390267,156941,27547208
82,5140197,.524394132,9.34,28698136,172502,28870638
83,5145432,.249667059,19.62,29062959,172738,29235697
84,4928187,.321013743,14.60,29684404,174427,29858831
85,4932535,.299093880,15.71,30014486,174671,30189157
86,4974578,.274784804,17.24,30357328,176019,30533347
87,4977919,.296362162,15.99,30611028,176167,30787195
88,4980576,.186362986,25.43,30763804,176491,30940295
89,4981037,.171395135,27.71,30808285,176727,30985012
90,6260836,.307910215,19.38,31145816,198695,31344511
91,6390362,.741291500,8.21,33035821,201444,33237265
92,6313586,.575512868,10.46,33720725,200143,33920868
93,6318595,.209351496,28.75,33861211,200408,34061619
94,6347171,.713671753,8.47,35314089,201692,35515781
95,6341402,.409189662,14.76,36104635,201216,36305851
96,6347055,.285574425,21.18,36553071,201708,36754779
97,6359818,.290429723,20.86,36970277,202280,37172557
98,6391647,.246326226,24.72,37265818,202820,37468638
