Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1f6af6117a46e2773e267e4c57f9bbc194ad2cc1,95072414,.635441484,142.67
2,e791392646258d4d0e809d64861bb78f4d4397f6,95172660,.993463240,91.35
3,376c2bbc146d03e26e7cd5907058b17ae3db519e,95633624,.320079143,284.92
4,df8325210e071911ed2f5bb3ead9696dca00b375,95710717,.424910383,214.79
5,0b0750d578ea4360a8938682f75d004586e1f542,95767418,.312900194,291.88
6,3eeafde0bf69c8734a830ead46051e33b121610a,95874517,.387827226,235.74
7,d42c7045f4ca3ffc0bfa3c87ce1a12ce43b9a4bd,96031005,.251691239,363.85
8,f3db08946f954e1e20a4a3e6ab29e589cb1ab812,96073810,.324727630,282.14
9,b9a451728d4c93fcb8a3458c91d30c8abd53a2cb,96156132,.155793004,588.60
10,b426bf39d08485706b39ad576b584a04040ca5e2,96181716,.222081646,413.00
11,5cea5ed7a275f24a1b545b729cf2aaa79b4f1a6b,96225095,.101500806,904.03
12,8e6451c81734818976490c6b35c74ec9ca2dcd65,96280016,.183781174,499.56
13,70c3cab7543a8e7730c7eea03c787660cc5cb9c5,96295453,.085233850,1077.38
14,6c99dd1565d4a7d2f27148f39c74fc56f757f60a,96159344,.150031393,611.20
15,24b38042a90c7b0a9ee72e350c69fdeb7786b4ec,96211395,.152250953,602.62
16,e3b1accd2be423bbb9383215e6517b807e571c13,97423740,.713164735,130.27
17,693b909a68c71efa69dc4afd267627991feeacdf,92660224,.589239951,149.95
18,8b720c1301a4dd01c2f907904b77e44fff55ee36,92962307,.544036756,162.94
19,6ca8c5703190493039dd61f821e86105a55ec539,93346573,.455462692,195.44
20,0ab42f45eb2ea1b0064c6824b6747af67c398f0a,93689064,.373668990,239.08
21,bd295ff2887f64f155d6faf844f581a287d8de05,93859230,.459596842,194.75
22,35c2ce6d6b71be14e0b9861f8f634dff680f5a96,94110041,.404454128,221.90
23,6b403e5d90cfbd95b0eddff9a3db2f16561a84d1,94499050,.572565918,157.39
24,9ca1fa0339b6e50cc53bb8309421ec8ec332d117,94934436,.509688835,177.61
25,7f26de955c276a59a87258a0edb04f4e481a3151,96571800,.486933753,189.12
26,f2b831e497245a5c5290fd5250fe2dd4e6994e19,96578438,.274857493,335.08
27,7f271c03b34ad7464f4b32ea1db093db9631554f,96793001,.473779547,194.81
28,d5497de5b18e1a3c8ac7f6be21b7c00fdd145b39,97169711,.397427388,233.14
