Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.229564089,10.58
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,.263632003,11.41
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,.176661734,17.15
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.173669499,17.44
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.039361259,77.48
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,.049776790,53.63
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,.053194746,50.19
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,.067134574,45.58
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,.047520751,68.18
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,.054731593,59.56
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,.044451677,69.51
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.053134068,58.15
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,.052045937,59.56
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,.062628639,50.29
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,.055978432,56.27
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.049563751,63.75
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,.036786692,85.62
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,.064684436,48.85
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,.041054502,79.16
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.107157386,34.34
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,.062396901,52.08
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.053386675,61.81
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,.047742751,69.53
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,.057226981,58.88
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,.071638650,47.04
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,.074984921,45.60
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,.087085349,39.27
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.096854847,38.20
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,.083388057,45.57
30,35c2f55320b6485851b241340741a06f658a299f,1528471,.042053030,34.48
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,.052608892,36.30
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,.108607079,22.37
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.109334596,27.98
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3408650,.083290551,39.02
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3882101,.082573639,44.80
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1746197,.107339116,15.46
37,02087c0873787f78e79426572c3b4a4ee44c271d,1237907,.080562195,14.64
38,774164b00e04c16b7d2d212f4509d7ea0a958080,1750224,.106958943,15.51
39,a807ae1af4741cc7ddf63246f7b86ddb045a0774,2058592,.072608544,26.99
40,2d28e83d0d367c33ddfd004d6ac959adb6e00e46,2806037,.119759525,22.29
41,349a8ab894ca9bfcb187d6828b77d2c34638e246,3318165,.106313365,29.72
42,2aca6971329fd3cec9292d8c5a40dbedc2f55168,3592985,.073902223,46.27
43,5c050aecffb05fc3014ea7e383b478a6a60a8749,2017228,.127066730,15.11
44,c38dee2af742bfd7eb8dd040995e7b48bbf4442c,1588445,.040176446,37.58
45,b378689aec2b0eca5174cfd168ebadc68bcf8baa,1606132,.049725571,30.76
46,e25e5b74a55885394e2661883a7fd56376e53646,6144601,.123682783,47.29
47,6cf4dc5cf1b5522c74d90b928e20563301f9e028,1334633,.055583373,22.84
48,09da3172231ff7c18aeb2254eee3137cacf32fb3,1237648,.033644872,35.07
49,4ef241292c367918acf9a428a91273ab2a4889ae,1254633,.053975930,22.04
50,ad1895c956e7bbacd6a11adc2951610824167a97,1568487,.037287528,39.95
51,788d7ffd8330dcd0d7d7e3867e45767f96819f1c,1261423,.066102010,18.15
52,1517b4f8f238192222b0b76f58bbc40dff883ea1,1241871,.049675988,23.75
53,7892088281aff9047c01fcd5191def93cbba51cf,4393995,.149229578,28.07
54,642a49ba976ebac160c0b4c476d66b92ccb771cf,4060009,.116637432,33.17
55,6b0ad14460f82ab09703609edaa3a66f77a96485,4119207,.078511236,49.92
56,11be3b3e31168e892a7acfdbe40e4dccf5cb89b6,4447089,.107845094,39.31
57,a5b489ac9405caa4e605a4601ca3a3b74261feed,6229166,.132408457,44.86
58,642de26ac7211aee367447d0edf02c9fcf2474f7,6258468,.068914387,86.48
59,33b50d2560f3a866e9c0dd060966afb4a050d8db,4455956,.134712766,31.47
60,dac788021bde630b0056ad16694e125b500f3a78,5127892,.115735549,42.25
61,c27a583b234ec7d7b57185740c49917d84810d3f,5133127,.136711248,35.76
62,98aa303c2c788f70df78019f1e23a284cd12bf6c,4928187,.091916651,51.02
63,035a30288679850802bcb635a37e8418be94f2ab,4932535,.040661444,115.58
64,994a275959885c5029292b5a0e5d32ca6023dd11,4974578,.043016453,110.19
65,4f8aae6da457817dd4dd1e2eca4d89a26d4b4b69,4977919,.042360829,111.89
66,91dac371399a55dd93f32cb54068289aedbfab97,4980576,.065347802,72.53
67,ae8ba716c77ad2ce36c7ccdd1d189bd76ac6d194,4981037,.070817545,67.07
68,7518c2fff337d5cdf0bbd9905c920c8d494459b3,6260836,.136272817,43.80
69,9528b980c76e6f3cd50029721424f6b231efe1a3,6386266,.154524121,39.41
70,c2cb1c78bc0dd18030056875b795a2fbe187d7ba,6317682,.155886123,38.61
71,e326e2e08f874b94eef3a6825d8adf36234a8902,6322691,.134226599,44.84
72,e58e9e4672738b125f43b00e056051ac1d508deb,6351267,.204873583,29.53
73,2955ca58cb3bf58cbb0a9ab131ec1e51395ac687,6345498,.072017917,84.00
74,87d07dca0ba60263dddf77e76f90330a5712cc77,6351151,.094419367,64.07
75,e8b10f84e54909bd01fd17c9cf77fe0d0bca69a1,6359818,.182934259,33.12
76,1a9ff13c060c7f8c04c40adfac4ea48ad414849f,6391647,.089680971,67.90
77,7b41e0a7360de6f148d7c5bdb5084a7392d1e14d,6387546,.137039821,44.43
78,7ee37e655d2f602826018b4e16109a0e37578493,6534249,.174438253,35.71
79,e6341534ba962f5315d6bb7e23c6828e18a0d54c,6401540,.195425457,31.21
80,aa567336c53498388095a99d5ad7456b59777ab3,6404317,.194147334,31.41
81,4d9f7a0a03b936676bf65bd8333f23b8b2391230,6434296,.192141446,31.90
82,221b95914604e461ff5150191178e734b656cec7,6435221,.091323630,67.12
83,dc07db6fa462b21711d8fafeddb4642f3489d086,6434662,.155906863,39.31
84,658ff6b193e6a4e558f6a9e462ac98980f1a94f7,6436136,.059292805,103.38
85,d9a70552eb517d6608ed4c46f9ea50afbfff4e42,6444754,.045709133,134.32
86,0e892401bd3f359bca359dac351bf260642b6771,6549675,.055225476,112.99
87,a3bde3f12312d3cffd509ef683caac49321ce56a,6552452,.074354721,83.92
88,b154d5ef87037cb551ded61ba82251d32aba233c,6575834,.183286745,34.20
89,6c599eb1f23c4173461581425b54402ca81970d1,6642067,.188306712,33.61
90,55de490bda9b77ca4db45d9f438eaa87df9837d2,6665522,.181565800,34.97
91,0dc8263463e4078bbdcc9ae4dd3efeb36f766294,6909795,.125148266,52.57
92,e0a29534200dd24f104dc3924e89463b9309d2a5,6671203,.176925394,35.94
93,90081edf7563fcb38a6092e48c055266b85070f2,6678242,.196715217,32.33
94,5161fa9190a9c358c16d9da05fa1b2d68847b160,6823724,.184466404,35.23
95,ff0eaa4b8d54df96360afcc4442246daf02119d2,6851650,.170733823,38.24
96,c6d5c4cd741f37bd1af3facf2f40513642538b35,6857137,.167212124,39.05
97,11fb4b9b7d6ba506644505f81c0bae4ec9bcdc88,6934059,.150142786,44.02
98,1b19c37037d0b967fa4fa17b35890169e1915c6a,6944733,.093167817,71.05
99,f29fa8a9b4ca46aea3043111d01b673f82bb885f,6952774,.116308175,57.00
100,715a6d81750ca7b6647cfd358723d7bfcb84647b,4959238,.302479197,15.60
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.254525873,9.54
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,.178334751,16.87
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,.087555842,34.60
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.125997531,24.04
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.174885214,17.44
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,.126101246,21.17
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,.087656676,30.45
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,.147318257,20.77
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,.098146856,33.01
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,.100185324,32.53
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,.238595176,12.95
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.111158433,27.79
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,.112749087,27.49
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,.081783766,38.51
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,.074841118,42.08
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.073356911,43.07
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,.050782698,62.02
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,.126221760,25.03
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,.074543277,43.59
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.124593087,29.53
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,.131900630,24.63
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.048638572,67.84
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,.119265894,27.83
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,.077518797,43.47
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,.136430489,24.70
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,.142700426,23.96
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,.064951880,52.65
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.117978914,31.36
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,.137995704,27.53
30,35c2f55320b6485851b241340741a06f658a299f,1528471,.047528923,30.50
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,.101550761,18.80
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,.133688571,18.17
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.188703392,16.21
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3408650,.126566200,25.67
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3882101,.129951832,28.47
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1746197,.057527042,28.85
37,02087c0873787f78e79426572c3b4a4ee44c271d,1237907,.061954477,19.04
38,774164b00e04c16b7d2d212f4509d7ea0a958080,1750224,.139086738,11.93
39,a807ae1af4741cc7ddf63246f7b86ddb045a0774,2058592,.103464804,18.94
40,2d28e83d0d367c33ddfd004d6ac959adb6e00e46,2806037,.132093812,20.21
41,349a8ab894ca9bfcb187d6828b77d2c34638e246,3318165,.216841771,14.57
42,2aca6971329fd3cec9292d8c5a40dbedc2f55168,3592985,.146040328,23.41
43,5c050aecffb05fc3014ea7e383b478a6a60a8749,2017228,.099790816,19.24
44,c38dee2af742bfd7eb8dd040995e7b48bbf4442c,1588445,.058277259,25.91
45,b378689aec2b0eca5174cfd168ebadc68bcf8baa,1606132,.090353390,16.93
46,e25e5b74a55885394e2661883a7fd56376e53646,6144601,.099687482,58.68
47,6cf4dc5cf1b5522c74d90b928e20563301f9e028,1334633,.047193605,26.91
48,09da3172231ff7c18aeb2254eee3137cacf32fb3,1237648,.041579170,28.37
49,4ef241292c367918acf9a428a91273ab2a4889ae,1254633,.045013397,26.43
50,ad1895c956e7bbacd6a11adc2951610824167a97,1568487,.049465947,30.12
51,788d7ffd8330dcd0d7d7e3867e45767f96819f1c,1261423,.061983633,19.35
52,1517b4f8f238192222b0b76f58bbc40dff883ea1,1241871,.035462563,33.27
53,7892088281aff9047c01fcd5191def93cbba51cf,4393995,.179019665,23.40
54,642a49ba976ebac160c0b4c476d66b92ccb771cf,4060009,.134613037,28.74
55,6b0ad14460f82ab09703609edaa3a66f77a96485,4119207,.087478126,44.81
56,11be3b3e31168e892a7acfdbe40e4dccf5cb89b6,4447089,.119601279,35.45
57,a5b489ac9405caa4e605a4601ca3a3b74261feed,6229166,.209368349,28.37
58,642de26ac7211aee367447d0edf02c9fcf2474f7,6258468,.157199596,37.91
59,33b50d2560f3a866e9c0dd060966afb4a050d8db,4455956,.130418243,32.51
60,dac788021bde630b0056ad16694e125b500f3a78,5127892,.208018542,23.50
61,c27a583b234ec7d7b57185740c49917d84810d3f,5133127,.109323445,44.72
62,98aa303c2c788f70df78019f1e23a284cd12bf6c,4928187,.136716434,34.30
63,035a30288679850802bcb635a37e8418be94f2ab,4932535,.101738247,46.19
64,994a275959885c5029292b5a0e5d32ca6023dd11,4974578,.096214133,49.26
65,4f8aae6da457817dd4dd1e2eca4d89a26d4b4b69,4977919,.037830611,125.29
66,91dac371399a55dd93f32cb54068289aedbfab97,4980576,.050366644,94.10
67,ae8ba716c77ad2ce36c7ccdd1d189bd76ac6d194,4981037,.042178675,112.61
68,7518c2fff337d5cdf0bbd9905c920c8d494459b3,6260836,.161393208,36.99
69,9528b980c76e6f3cd50029721424f6b231efe1a3,6386266,.203549368,29.91
70,c2cb1c78bc0dd18030056875b795a2fbe187d7ba,6317682,.240615952,25.01
71,e326e2e08f874b94eef3a6825d8adf36234a8902,6322691,.163169012,36.89
72,e58e9e4672738b125f43b00e056051ac1d508deb,6351267,.163359578,37.03
73,2955ca58cb3bf58cbb0a9ab131ec1e51395ac687,6345498,.127173576,47.57
74,87d07dca0ba60263dddf77e76f90330a5712cc77,6351151,.092857296,65.15
75,e8b10f84e54909bd01fd17c9cf77fe0d0bca69a1,6359818,.159414083,38.01
76,1a9ff13c060c7f8c04c40adfac4ea48ad414849f,6391647,.067109045,90.74
77,7b41e0a7360de6f148d7c5bdb5084a7392d1e14d,6387546,.133521785,45.61
78,7ee37e655d2f602826018b4e16109a0e37578493,6534249,.124005770,50.23
79,e6341534ba962f5315d6bb7e23c6828e18a0d54c,6401540,.159579141,38.22
80,aa567336c53498388095a99d5ad7456b59777ab3,6404317,.161079707,37.86
81,4d9f7a0a03b936676bf65bd8333f23b8b2391230,6434296,.068343583,89.69
82,221b95914604e461ff5150191178e734b656cec7,6435221,.053086719,115.47
83,dc07db6fa462b21711d8fafeddb4642f3489d086,6434662,.096675909,63.40
84,658ff6b193e6a4e558f6a9e462ac98980f1a94f7,6436136,.102940291,59.54
85,d9a70552eb517d6608ed4c46f9ea50afbfff4e42,6444754,.151943030,40.40
86,0e892401bd3f359bca359dac351bf260642b6771,6549675,.125545560,49.70
87,a3bde3f12312d3cffd509ef683caac49321ce56a,6552452,.044625434,139.83
88,b154d5ef87037cb551ded61ba82251d32aba233c,6575834,.167462718,37.44
89,6c599eb1f23c4173461581425b54402ca81970d1,6642067,.110303234,57.38
90,55de490bda9b77ca4db45d9f438eaa87df9837d2,6665522,.148527176,42.75
91,0dc8263463e4078bbdcc9ae4dd3efeb36f766294,6909795,.157761512,41.70
92,e0a29534200dd24f104dc3924e89463b9309d2a5,6671203,.157313762,40.42
93,90081edf7563fcb38a6092e48c055266b85070f2,6678242,.149839332,42.44
94,5161fa9190a9c358c16d9da05fa1b2d68847b160,6823724,.154214457,42.14
95,ff0eaa4b8d54df96360afcc4442246daf02119d2,6851650,.113792010,57.38
96,c6d5c4cd741f37bd1af3facf2f40513642538b35,6857137,.119236583,54.76
97,11fb4b9b7d6ba506644505f81c0bae4ec9bcdc88,6934059,.152315019,43.39
98,1b19c37037d0b967fa4fa17b35890169e1915c6a,6944733,.168701327,39.24
99,f29fa8a9b4ca46aea3043111d01b673f82bb885f,6952774,.131212362,50.52
100,715a6d81750ca7b6647cfd358723d7bfcb84647b,4959238,.306884248,15.38
1,9aab3fdefd0f6a3818e30747b9745f9bdfc522ae,2549033,.221057765,10.99
2,f8daa5c8369373ca770d36529a5141c1fed767c4,3159312,.237043157,12.69
3,01809a5880332c13aca8c8f1a9beacbf37a1eef5,3183600,.146606776,20.66
4,0ed0ada4871c6a815fcc64640b88e7a2ec0fc011,3184367,.075360933,40.20
5,670618ceae0f70fee9c26caedf56161a8585feae,3200095,.049124510,62.08
6,9c02a863a4f9d395ef5cf0cf4305a0597b6af817,2800457,.103177446,25.87
7,2c88f8f3372c46f7da30a2d5a95571ce31ccb82b,2803544,.040989206,65.13
8,2bce332575bc6d41db46ae89bc4c747284a7e657,3214340,.169865743,18.01
9,83fc08d7d44277408ea46c7f98eb7495785139bd,3398742,.105467859,30.72
10,ac74d58a69839b3adc73159d22e64faf53261a86,3420456,.116395107,28.00
11,ba776c097d9139bd52c75666822f7acb282a9182,3240405,.139168625,22.20
12,94f5e8b2303521aa7d0ccbc562fdddded452c2b7,3249740,.077498773,39.87
13,57b85cca9116ed3a44e3ee3790122bb4ef16a183,3253047,.046847501,66.17
14,3d6b1bdbffff3622b070026b39edef4a45989795,3311180,.128710996,24.47
15,2bd7c26d4a95b79534eee28a51fc087ab97738dd,3311452,.123567923,25.49
16,3a16cd7aaef30e8f0f69b94db48bfba8bbcac627,3318718,.106221882,29.74
17,592fd8fbe96e9881951b1f633ef249a47d8f2b11,3311133,.040593549,77.59
18,35e9bef23399538aea2080a6ccd8e681d4456c99,3316570,.048060504,65.75
19,ed7954eb3380cc60c9c265c53eddee4783e03be7,3408650,.095154403,34.15
20,a8755f2055e0ab84426a0b4c30fef8ae000a9fbb,3860138,.098101977,37.51
21,d781e18a543942240c7f0be9406781eb142fff26,3413404,.071073727,45.72
22,a76d253abff4aeff63d8fc1eacda247eb93961cd,3469780,.054858746,60.15
23,0137944c008beb458cd15c2d69c0aa1b83720857,3487224,.100171258,33.14
24,d853813309f2b8037f073dc858a08f3876b07337,3535048,.111292223,30.28
25,c9092457d5b5ac7fc9454144b9c4310560f2d6de,3542032,.044469136,75.78
26,6011d2ff08cbd32b62d48abf3b9ca61331f9096e,3591661,.086494395,39.54
27,3f319006b45b5067908e34d5c76882bee733a695,3590857,.104554960,32.71
28,8f7bd12e64ea80b57e9eb6cdc1bf65060b76e2d6,3882101,.118591457,31.19
29,45ed4be004f1f771270c85721dec95d453d4b923,3985057,.064920616,58.53
30,35c2f55320b6485851b241340741a06f658a299f,1528471,.056253163,25.77
31,559cfdcd6ef00cf140ddd2dd4ff099fabbf9d689,2013032,.043038018,44.37
32,d5caff9cd3fd9fef5f37c749275f11a8a210e505,2549033,.092912160,26.15
33,249ebd2e6a4dd662c8231068938df2cee286110b,3214340,.127166177,24.06
34,c8a7fe66d8b0ddee32ea1bbc5fe0a4c5cb4dc462,3408650,.094045238,34.55
35,3581d32d84f578fe9a1e619186dbfe735959cb36,3882101,.104669402,35.34
36,a51109afd9f703f6307abab543fcd4a29c3c7ee0,1746197,.047628995,34.85
37,02087c0873787f78e79426572c3b4a4ee44c271d,1237907,.118259254,9.97
