Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,92997a7bb0b93243d0d95515adcdddac10f55000,32750157,4.045093442,7.72
2,7f5c3885e5a34e3e747fb3e3bfe5a0165bf2265e,29522794,1.494953274,18.83
3,555bb66087baad805197d562c06ce56d6b051f86,56123159,.521839883,102.56
4,4a40347fc1ce703e518030573779a60ad233d306,55701565,.385481084,137.80
5,3c4bb30dd1838f8262539bf7743117e64888c342,55732262,.629093564,84.48
6,6e15dcd875f092ee6decfcf9140bc1975f9a27f3,55725923,.275162475,193.12
7,2965d78a5f9aa91d71a7388964bdc8989f4b0469,53438804,.286851716,177.65
8,1b5ddb384e75b5b154dcd8cd52c7d886418ae16b,74415098,.563008012,126.03
9,332a3a754b9c6bf21b6e0bf9d180e3ff82bb4bb7,75236851,.442656528,162.08
10,ae98d20de36bb7569f4c0641bd500ceaee1e8f8d,75902865,.675792833,107.10
11,3fdffc528af1d971fdb185d6881ba00ab37743a3,76323196,.327245383,222.40
12,de2c64e70a205d310529579aaedc89802a364e45,76636797,.211784864,345.06
13,5c3c7e755e7df055968ab76f501f14940289ced5,113403875,1.137493030,95.07
14,cb0d3b46849fdbcf2d1fa0e3fe848d2792235538,113778247,1.222791173,88.73
15,0faaed81debbe89c130d6f1b9cb98dce685e6da6,113847937,.426020830,254.84
16,cc03ed40f4d2e0d69527936aa9963a4c19ebda6a,114700116,.367185855,297.88
17,5909223a5eb4b451490da6815cb9b7846d75acfb,114931879,.307587457,356.32
18,aac81259d39cae139fbe87acd4b16b65e768a24a,115034034,.309536257,354.40
19,771d182fbce665d40e842d7c107141aa338c9bb5,128244901,1.101409975,111.03
20,362ffbea4e4bf6fa25e057738d1a53cd8dc43ad0,129670658,.875008142,141.32
21,a2bd719adcd5f0d6672a3319ecdcc6171eb2bc8c,129762526,.627807776,197.11
22,1b33a4c7e0c0ff27ac11b2a6c222b05d9dacedf6,130696817,.371667102,335.35
23,adaca2ddb21c99deecc065efab855c5f19901a00,130813294,.523710914,238.20
24,93e656387515ffb5858a83db7bf5b50de8ae476d,130846627,.755789925,165.09
25,df1499621c784839afcbeace14ade7948afd3ffe,131484397,1.547342310,81.03
26,bbeb67c58b85e6e0965592eb728c2d43fde58378,166866162,2.036853128,78.12
27,27b5ef4be8ed19d53fa24ecff49c1cc6daff2547,164821222,1.473425426,106.67
28,7bd7db3d2988b5aa475b1f3a6443cedd39d53d5e,166922937,.681484991,233.59
29,890f75cdadafedb70af1a12e66b1944b56d15499,167475681,1.123229465,142.18
30,d97f49199bf6908dd83c31f6ea038fb9c5e8ae9f,168614649,1.215432912,132.29
31,09fe9f343b96efc93652cac1b51643d376543c53,168759717,1.121109813,143.55
32,1076a6ef6a6ae1f8fe9dd10b17d5e60f548d139b,168282030,1.056285227,151.92
33,c80a07aa35667c3c3781a181b13309b15ae585e6,198366448,2.170861002,87.14
34,e7c63ebc261abbddb0f65bd9ccb9b4222b00971e,200618247,1.961202378,97.55
35,a2c6134c028c62e8e04a2428e7495844134637b6,199863697,1.399750265,136.16
36,8c97e4fb53c8eef407f4b5d9ec1bed26928972ac,199856406,1.532434746,124.37
37,633468cee2f72dfa3d9b94fa3195cab3be183602,200051652,1.540293678,123.85
38,a031feecb1ffe5f82fdaf693e4b72e1c28764590,237270742,3.726856794,60.71
39,f307ecbd0cf45bd36fed519d2d6a8b7ac69eb66b,238509910,1.717387944,132.44
40,b3ebe72d68a6db862de020ecc5a7d97fae531ae9,240086401,2.083969816,109.86
41,28432f7e45f1f2b33730465403110e01440d3914,266032678,3.049171810,83.20
42,e1233b5fede39a54dd758d5315746f9f17de0d0d,267895079,1.742391878,146.62
43,4d98dc07ed8475adac3684fa88324068e12b4380,268010507,2.252087603,113.49
44,249f24c5471b16fe23fe06cd67bd72dd97aaeb51,268225104,1.700493955,150.42
45,0cb3d5663625371433242db30f257b65a3af1a8b,265844152,1.918438638,132.14
46,90d27298d70f588e85e2bab86d8f9342aac01e66,352596110,4.055146352,82.92
47,af9a4fe30a851feb4c23a425a87c8763c0306fc9,350657894,2.654937207,125.95
48,937b638b38f347e4a23e8b8d433fa5e607b172df,351000192,2.682753217,124.77
49,6176c70a69fed4b40ff22d2420968f6ec6771c7c,353259332,3.017539560,111.64
50,e6e8b9f68513a8e51adc5792aba6bf4d1b375968,353442367,3.403316596,99.03
51,9d0c7d8aa504f7d84a421ee777b5f9837cda6933,353431997,3.025550103,111.40
52,25bba026b40674ed8816e2f96cc6a0e3d4e9ebff,353457050,2.741650278,122.94
53,f1ca543f8b82e684ab6a84e9f0cadb03a5adb5ef,371788452,5.254228816,67.48
54,9c79bb01dc1bfd8e224cdf75f4457b1f792fac66,372030318,4.061525208,87.35
55,96cd206df99e473b6937b9e7313a6de3dad4020d,372333926,2.818501715,125.98
56,8f8695bf2586a0d91a922b2d750327c339e8bc1f,372605603,3.330963448,106.67
57,1339bebe8e23cbdc401bc9443347c3373ccd76d5,372812992,2.758858258,128.87
58,6ac78fb192a84ff4f9afa9c17f2945a3fd087794,373010805,3.370438592,105.54
59,4c2dfff118f8dd5978f7996714bea3ff4567f0f8,373112332,2.959019003,120.24
60,2c333becd462044f7137bdb50a89e756c9fee17a,373174591,4.483373878,79.37
61,ac8d599f7d6dc933ee50973f0c5b085765f8e162,388666216,7.435309021,49.85
62,394dfdd88590a29e35a46fcf6f27fd5b58cc2379,389244790,3.830341180,96.91
63,341d81a80ac9a361d5a824e5e6b2507b44ca1529,390528435,3.345932454,111.30
64,38204ae32a5acd32274c5b69074b0eb4a9e123b9,390750502,4.128333642,90.26
65,f8cec3e5333d8aadd8965d851811be1e2340114f,390931684,3.359250403,110.98
66,3bb9d0e3bddf0c9d07b5bbd45e4f83bcbd8b5c44,424920189,7.053890348,57.44
67,afdf47008a858598825aa6af7ec23c9348da3180,426209593,3.805706004,106.80
68,21ceb1db42296270860d537a3b3793c79c57db71,427537917,4.172631109,97.71
69,f7100c583932aa86fe2525c40491130a6ed6e3ee,427775994,3.635207730,112.22
70,1f78f8d093cb6bcb6bc776c8a5827ebd428e84ac,427910959,3.584667631,113.84
71,c8e92e9f294a18e37891d4ed81143025dbd02441,460876923,7.295355517,60.24
72,1751947d5620f67abab2c67a7b32ec9ea93f76e7,461512916,5.647871003,77.92
73,58bbf53174d974d97177ed8cd181a6e6277c3c3f,462817818,4.244025535,103.99
74,339bf33cefbf202ccafb7f73f188ba3ca5647c17,463124307,4.236415041,104.25
75,512befdbe7d0d7dd43cc1d9499874a4b570833df,463318639,4.326222625,102.13
76,3f4415c0f72d37e399105addf1fd5918e50fe528,484256744,7.718898857,59.82
77,17cef1c90afc5e6e1d5344eee4eafe5bd850450b,484495534,4.154332435,111.22
78,a017c6da529e1a62f7ba9dac4d439c9f849807b0,480350818,3.729683474,122.82
79,3066605277d11ccebed2daf36b8e311fc846cd83,481654970,4.235809654,108.44
80,7e9fafa42a21cb9882a2bf12a091d223c81ea9b8,481889216,3.513018730,130.81
81,d0e7cf7bf7fcc27b5c42229ab01095ddb1bd1ad5,482110594,6.295331098,73.03
82,5607c93edcca59684bdae8893062c54f7d1d9e0c,504745806,8.554630165,56.26
83,b8978805ba119da3290d3634eb4ab9070505e6e9,505457499,4.537958869,106.22
84,dc0f47ed02d0d2449bc8f19d7b359243bdb29f56,505824741,4.629637474,104.19
85,ca82904e2f33c937053d9c5b110d07b5055e130d,506391799,4.713166374,102.46
86,380f18c7eae8e5cb06d73ae95b3f36767a476366,506736797,5.550222511,87.07
87,f4d32bdbdc508888e7d8885d69fa00a1f399d346,535844301,7.330419652,69.71
88,b681339e3399248a1462c88b33c27914779cf3fa,536847007,4.939227268,103.65
