Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,2893207779,16.339727749,168.86
2,ea77d969c712e58e4f12d61ba775fd488b982f43,2903092105,11.020880515,251.21
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,2881454642,9.487578611,289.63
4,770a456060fbafe103b167adf2b01aa4e0d94903,2922171566,34.280740088,81.29
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,2895587350,9.413559306,293.34
6,5a0aafd58b03c54930e8d183e34e6757570c9682,2928036074,13.412399734,208.19
7,21737933a799f56437faef76f2eb6ad0e3bb8486,2928425638,13.569140882,205.81
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,2959969199,31.864100703,88.58
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,2942614459,28.122712685,99.78
10,b05d24a79fa236421334ebf0803e842048ebf1b4,2942112331,25.031216232,112.09
11,e357919e0baa947a75c060affe4e7d1467d82448,2920548108,24.391403572,114.18
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,2918658808,49.056850497,56.73
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,2965403400,24.113526354,117.27
14,7391dd8d9e85a362d06988741081fd073e81f9f2,2942765901,29.138928504,96.31
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,2963773798,23.931382269,118.10
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,2958433457,25.750078781,109.56
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,3002113733,46.875555902,61.07
18,86d7ab14fa255ca94fb1cd75745bf12032734587,3022826060,26.744571428,107.78
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,3025358153,30.815264610,93.62
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,3003664894,25.583144781,111.96
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,2954328755,26.399163077,106.72
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,2913024163,29.855549366,93.05
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,2885217470,31.320609593,87.85
24,902627898be383023bc701bb4aac70d9ce6db843,2874744597,22.357471947,122.62
25,689625303d75cd8446a7f4638683b3039e827cfa,2889627618,23.565079660,116.94
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,2897802950,23.425620213,117.97
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,2888724205,23.031879522,119.61
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,2887488925,49.574612502,55.54
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,2894631484,23.930910445,115.35
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,2898884721,23.148404339,119.42
31,cc0250363a4517023ea834eb556b7f75eb3e1664,2913438145,28.740886813,96.67
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,2876255259,24.949142830,109.94
33,3ed770b2b05ec8201f79cb4a6c16cb82f64291d8,2841577442,23.530349614,115.16
34,72376f62a21666198700efbc1941efbd8f73cac8,2889946546,25.808132103,106.79
35,1a800b718f8dd0df0097cdc624626391ecfe79b3,2904318650,34.031198274,81.38
36,f6a1465545d4e7adc923adafeb1d9b4d0839e3b0,2916941357,25.942143026,107.23
37,a829af8bf0535580214e90543dc45d32677e781d,2909440666,27.858969582,99.59
38,588e2e7675191bc6721eff29e0a1d9702363ff6e,2932156936,53.676985927,52.09
39,8c0d14ba60e4fd2080973e92fc9bfa9145a4ac60,2909329147,26.983478014,102.82
40,6c1ff429defa1def5ce35a9b49766a22ab2033b2,2909791533,27.775012355,99.90
41,e54fd68324a3e7233da3dd2dbee2e487d702e062,2931450368,33.647369859,83.08
42,f1c0673a557668ec69d4979d49932faf075c4307,2909006795,26.859381117,103.28
43,53ab0f2fc816c6d733fa37846141cb3151e75254,2908100201,33.150271895,83.66
44,b1b176e5a6c24464e4f09184b70b45d97f95d176,2911259136,32.092625166,86.51
45,4fd09ec6be986cb3f3e4a819b9424a1cecf88e28,2895335664,26.735675516,103.27
46,6c96da217e6ee4cb7adbe90d40f4728ae83c3691,2913876057,30.441034688,91.28
47,ac838306a04609280fc058a3bef23fa8661ec12f,2934058332,26.299912201,106.39
48,647b08eeee3c90f1bf415bb05cc2cc43bcab469e,2934031367,32.714434110,85.53
49,541245a21285ffde4afc3dcea75d17ac1fdafd28,2938463697,27.781523629,100.87
50,44366b7560dd290f138800f36d847b8651d889a4,2914212358,25.472654566,109.10
51,192603e7581fa7ccc5ef41628ecd1064237b0d97,2936758978,31.320618275,89.42
52,c3f5c1ce74b9d22fdc018f3f7bd5b9965b0142c7,2885218724,21.831325401,126.03
53,dca6ae3909d26e2c2ba9ca7d1451175489001e9f,2887997496,17.590572621,156.57
54,d4f11cf24e34800900a0f8fefaca62ffbbc64606,2908028511,32.835675005,84.46
55,ec3c9475cd1667e1361688f7810402210fbac67e,2917616778,16.971269948,163.95
56,c4febe597a750573ac79dc8cfe7ee2937f412184,2914283238,17.130332342,162.24
57,cf4efd951b926c73ae2529336f9e53ccb17004af,2929628253,21.538170252,129.71
58,278fd9c82f3909745aa009d8fd743a262f09c146,2914981814,19.847287001,140.06
59,731b682e61f4e0f713cad55dbf1ca3f088482f2c,2919915600,16.048724334,173.51
60,1103c79d09d887ddbacfc6cbbec156734caab7fc,2922449125,15.588187360,178.79
61,0e851dce27e7d1efb9e5b1a11cbc53e6d4a0d2a2,2923531729,18.010842241,154.80
62,80e7e7fa84d9500c14607ad34161db477bdc2ea0,2923893790,21.711368689,128.43
63,3db8db1b35e2edb5fbd99e149dd6949d260afa9e,2939160809,15.547485359,180.28
64,ef8341cff01e69bd1fd82d185c8bc7bc6ea67f9f,2911395560,15.872999434,174.92
65,5f7936eb8edf880dceb53e7f20859ad5599f1783,2920649856,15.630265208,178.20
66,6011a75f5adeb67e81023e214674506b3c9ed757,2889506947,33.765406777,81.61
67,9bc39650962f78982cf469ee0e7af59e0da53330,2912333235,15.072833602,184.26
68,c4fb8c8313aa0c2fa0897e7675301ca70c6cf137,2915146256,15.906514359,174.77
69,d39cd6ea43f441e6831690ccc98836e044f2dfc2,2909672432,14.605852557,189.98
70,be8c689cff9adeb2dcd7b70f4ffc86924631760e,2925830248,14.696863002,189.85
71,9f59e07d06e4f090f58b1d2f7d2efab2fce97313,2941430556,15.298830224,183.35
72,ab9e8a8591fd6e26e62aff20a85e8d8b32837fab,2963088376,15.221707723,185.64
73,2178b6f92fc3c93a6d7ac54cfd7d98f5a39ca142,2944041102,15.139141917,185.45
74,bc864167415217060434ed3382d64aacd43f0a26,2934052522,14.897206490,187.82
75,72c7430c0ec339e3b09d1e8fcc12354155e22814,2969503407,24.195572772,117.04
76,b51beb9bd37f713f1dee409560f2436d57fbe88b,2982584765,14.879577125,191.16
77,f14101b9fd919749d54459b4ab4fe5c8c4b1a738,2980237113,15.372723465,184.88
78,5d709996b3734f101d8d86a917364d5b57bece7f,2990848057,14.915295579,191.23
79,8efc68f266aab6eb039ae7f56ea24ecb4ebce173,2978016335,15.305706169,185.55
80,056fff769b89b5baf56401c661a34a365900b6b8,2993723254,31.716721408,90.01
81,39613596f84f935961b3885cb595357a206314e4,2957044115,14.240272914,198.03
82,10e8ec3e1b819a5953f2ded73b02aed1edae0ac0,2965502092,16.239607355,174.14
83,151ef47d39e51460700b3317995dd63303250336,2980392787,14.971736927,189.84
84,ec48aaa1e2a4c9e901d860e9f05377fb14a583ae,2986190830,23.674780123,120.29
85,fd9505ababb1897a0ca5c372c8d6cd3cfb740d04,2985518263,14.397077778,197.76
86,2181280566dcd252cd2d0f63ee7880d96f56c7c2,2955347537,14.972392159,188.24
87,dbf2d33d30fc5e74a1d56928b939336cc8c44dee,2961989355,15.527583338,181.91
88,d74842ae3dcd3e86489d80a17a2e944f86cc9d35,2954141183,14.297924481,197.04
89,7f9a9a8e5536c03a196826cfe893f3ca4332e9b5,2981093942,14.315201116,198.59
90,9fccf65c2e65c323cb963939f6a187feb434cfda,2987058529,14.264753426,199.70
91,0d266326a8f61e8f26f187be0a2ae1fa8a3bcd7a,2968318855,13.822722620,204.79
92,d7f5f89dbb7e062dcaba407ec11c01d3befc4159,2997301301,14.164884805,201.79
93,3d81aa8064405324d97a80f9e4428e87e2175bac,2996477746,14.064177752,203.18
94,2bc4deaf126c0ad9795098c98f2b643fe56ad5da,2999578682,14.514121326,197.09
95,573d393eceaafd4de1a43a4ac60eb7bce912b7fe,2998319429,14.114667276,202.58
96,5a0f37ef2f05ced684b09b6d32feb2b83f58b2d8,3002078193,13.764042799,208.00
97,a6e48f37364632d4d707d82242cdd95bee73c5ab,2984714109,13.656054213,208.43
98,d23208b90456abbbc0eb644d709d03da87962ff3,3002811803,13.571601520,211.00
99,d74c8ed69e2d58479c9ecd20ecf21bd5102d19b2,3056149173,13.562555892,214.89
100,ff95766912f3f6ec939b291846884334cb072a3c,3041180710,13.230578227,219.21
101,af0e1a6a8ba2c4ce168e8583ea650dd85650ffff,3025804690,13.353691927,216.09
102,fff3ecd1d229b4c31e0c5d5073856a0d450bb4a8,3004952112,12.372687639,231.61
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,2893207779,39.934046544,69.09
2,ea77d969c712e58e4f12d61ba775fd488b982f43,2903092105,31.204637297,88.72
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,2881454642,16.640627051,165.13
4,770a456060fbafe103b167adf2b01aa4e0d94903,2922171566,15.868013181,175.62
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,2895587350,15.341520721,179.99
6,5a0aafd58b03c54930e8d183e34e6757570c9682,2928036074,16.133920984,173.07
7,21737933a799f56437faef76f2eb6ad0e3bb8486,2928425638,16.625862271,167.97
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,2959969199,35.909269533,78.61
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,2942614459,34.644075127,81.00
10,b05d24a79fa236421334ebf0803e842048ebf1b4,2942112331,29.454226306,95.26
11,e357919e0baa947a75c060affe4e7d1467d82448,2920548108,33.782333778,82.44
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,2918658808,37.016726643,75.19
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,2965403400,30.686741115,92.15
14,7391dd8d9e85a362d06988741081fd073e81f9f2,2942765901,50.048300556,56.07
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,2963773798,30.722195124,92.00
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,2958433457,58.387550820,48.32
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,3002113733,29.911356251,95.71
18,86d7ab14fa255ca94fb1cd75745bf12032734587,3022826060,28.937343064,99.62
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,3025358153,30.997397936,93.07
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,3003664894,29.261217277,97.89
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,2954328755,33.445769757,84.23
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,2913024163,28.054385015,99.02
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,2885217470,38.972642329,70.60
24,902627898be383023bc701bb4aac70d9ce6db843,2874744597,28.097721750,97.57
25,689625303d75cd8446a7f4638683b3039e827cfa,2889627618,28.672662342,96.11
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,2897802950,54.670703779,50.54
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,2888724205,29.895616962,92.15
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,2887488925,39.917713323,68.98
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,2894631484,29.329138734,94.12
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,2898884721,27.597077185,100.17
31,cc0250363a4517023ea834eb556b7f75eb3e1664,2913438145,27.448156841,101.22
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,2876255259,35.504217421,77.25
33,3ed770b2b05ec8201f79cb4a6c16cb82f64291d8,2841577442,26.946143858,100.56
34,72376f62a21666198700efbc1941efbd8f73cac8,2889946546,33.565963166,82.10
35,1a800b718f8dd0df0097cdc624626391ecfe79b3,2904318650,37.889036191,73.10
36,f6a1465545d4e7adc923adafeb1d9b4d0839e3b0,2916941357,33.815107092,82.26
37,a829af8bf0535580214e90543dc45d32677e781d,2909440666,37.824604880,73.35
38,588e2e7675191bc6721eff29e0a1d9702363ff6e,2932156936,43.173404010,64.76
39,8c0d14ba60e4fd2080973e92fc9bfa9145a4ac60,2909329147,34.112726780,81.33
40,6c1ff429defa1def5ce35a9b49766a22ab2033b2,2909791533,32.799951304,84.60
41,e54fd68324a3e7233da3dd2dbee2e487d702e062,2931450368,42.305849121,66.08
42,f1c0673a557668ec69d4979d49932faf075c4307,2909006795,31.566386498,87.88
43,53ab0f2fc816c6d733fa37846141cb3151e75254,2908100201,43.169523457,64.24
44,b1b176e5a6c24464e4f09184b70b45d97f95d176,2911259136,31.014363862,89.51
45,4fd09ec6be986cb3f3e4a819b9424a1cecf88e28,2895335664,36.222369385,76.22
46,6c96da217e6ee4cb7adbe90d40f4728ae83c3691,2913876057,30.475083539,91.18
47,ac838306a04609280fc058a3bef23fa8661ec12f,2934058332,30.732605375,91.04
48,647b08eeee3c90f1bf415bb05cc2cc43bcab469e,2934031367,33.606001402,83.26
49,541245a21285ffde4afc3dcea75d17ac1fdafd28,2938463697,29.846070217,93.89
50,44366b7560dd290f138800f36d847b8651d889a4,2914212358,35.019561516,79.36
51,192603e7581fa7ccc5ef41628ecd1064237b0d97,2936758978,25.839359297,108.38
52,c3f5c1ce74b9d22fdc018f3f7bd5b9965b0142c7,2885218724,22.247141044,123.68
53,dca6ae3909d26e2c2ba9ca7d1451175489001e9f,2887997496,40.230459987,68.46
54,d4f11cf24e34800900a0f8fefaca62ffbbc64606,2908028511,18.504906669,149.86
55,ec3c9475cd1667e1361688f7810402210fbac67e,2917616778,17.629569157,157.82
56,c4febe597a750573ac79dc8cfe7ee2937f412184,2914283238,17.354410444,160.14
57,cf4efd951b926c73ae2529336f9e53ccb17004af,2929628253,17.504350445,159.61
58,278fd9c82f3909745aa009d8fd743a262f09c146,2914981814,30.543037401,91.01
59,731b682e61f4e0f713cad55dbf1ca3f088482f2c,2919915600,17.596860666,158.24
60,1103c79d09d887ddbacfc6cbbec156734caab7fc,2922449125,17.003949133,163.90
61,0e851dce27e7d1efb9e5b1a11cbc53e6d4a0d2a2,2923531729,17.589000169,158.51
62,80e7e7fa84d9500c14607ad34161db477bdc2ea0,2923893790,16.772686871,166.24
63,3db8db1b35e2edb5fbd99e149dd6949d260afa9e,2939160809,16.681008903,168.03
64,ef8341cff01e69bd1fd82d185c8bc7bc6ea67f9f,2911395560,16.720425194,166.05
65,5f7936eb8edf880dceb53e7f20859ad5599f1783,2920649856,16.862417091,165.18
66,6011a75f5adeb67e81023e214674506b3c9ed757,2889506947,16.512166575,166.88
67,9bc39650962f78982cf469ee0e7af59e0da53330,2912333235,16.563008915,167.68
68,c4fb8c8313aa0c2fa0897e7675301ca70c6cf137,2915146256,16.189035657,171.72
