Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.175260955,11.52
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2652310,.162992699,15.46
3,6924be31de94ccaae8b96077037ab312939c0e32,3004222,.101408868,28.20
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3022410,.076743103,37.52
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3066897,.141048737,20.70
6,d3733b28ba685e91957eb785b700fe7f512b2740,3361554,.123358631,25.94
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3359425,.102690190,31.16
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8410703,.120292777,66.67
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10892011,.210783913,49.24
10,b939be9b42d03a5a25a97a654bfe99327632f525,11013977,.161184381,65.14
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11019841,.164638617,63.77
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11494210,.246690413,44.42
13,386d25013d9257354004499630a0474936ca9afe,9216900,.237300225,36.99
14,6fe06c8e77e815cb87687d39246324b0687526ce,9528515,.202397668,44.86
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9648724,.211604083,43.47
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9662261,.185090414,49.75
17,0906e19089d696d0b0b986310417382d10731506,9780995,.296721882,31.40
18,a7350b8c7d319482804752cae0713134d2fd9c41,9975764,.204738527,46.44
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10007266,.168951577,56.46
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10059058,.325015409,29.50
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10144972,.214167602,45.15
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10204376,.181114966,53.72
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10326632,.187340435,52.52
24,d14d8d77a8e3d6533eb035610987072d4368e932,10873768,.205176271,50.54
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10970597,.207051577,50.51
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11074838,.217426814,48.56
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11458034,.208079422,52.47
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11634751,.196255054,56.50
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.229250705,8.81
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2652310,.231679237,10.87
3,6924be31de94ccaae8b96077037ab312939c0e32,3004222,.116090346,24.63
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3022410,.105183531,27.38
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3066897,.148133786,19.71
6,d3733b28ba685e91957eb785b700fe7f512b2740,3361554,.133034559,24.05
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3359425,.111590480,28.67
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8410703,.235311104,34.08
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10892011,.204039291,50.87
10,b939be9b42d03a5a25a97a654bfe99327632f525,11013977,.208385339,50.38
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11019841,.168208720,62.42
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11494210,.265184029,41.32
13,386d25013d9257354004499630a0474936ca9afe,9216900,.172992151,50.75
14,6fe06c8e77e815cb87687d39246324b0687526ce,9528515,.178734979,50.80
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9648724,.202027910,45.53
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9662261,.171744741,53.62
17,0906e19089d696d0b0b986310417382d10731506,9780995,.155396721,59.97
18,a7350b8c7d319482804752cae0713134d2fd9c41,9975764,.161000256,59.06
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10007266,.161996663,58.89
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10059058,.213348662,44.94
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10144972,.174262828,55.49
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10204376,.211767214,45.94
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10326632,.239072996,41.15
24,d14d8d77a8e3d6533eb035610987072d4368e932,10873768,.294605267,35.19
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10970597,.361540246,28.93
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11074838,.375349013,28.13
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11458034,.310398060,35.18
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11634751,.225869724,49.09
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.179777876,11.23
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2652310,.125197178,20.12
3,6924be31de94ccaae8b96077037ab312939c0e32,3004222,.117553489,24.32
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3022410,.058294426,49.40
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3066897,.136686587,21.36
6,d3733b28ba685e91957eb785b700fe7f512b2740,3361554,.151687557,21.09
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3359425,.137246934,23.31
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8410703,.128033233,62.63
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10892011,.195211132,53.17
10,b939be9b42d03a5a25a97a654bfe99327632f525,11013977,.187020503,56.14
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11019841,.186431030,56.32
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11494210,.206819990,52.99
13,386d25013d9257354004499630a0474936ca9afe,9216900,.139465227,62.95
14,6fe06c8e77e815cb87687d39246324b0687526ce,9528515,.138063763,65.76
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9648724,.114962180,80.02
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9662261,.135488633,67.97
17,0906e19089d696d0b0b986310417382d10731506,9780995,.166428954,55.99
18,a7350b8c7d319482804752cae0713134d2fd9c41,9975764,.187653711,50.67
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10007266,.295319051,32.30
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10059058,.290563438,33.00
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10144972,.260129182,37.17
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10204376,.195306831,49.81
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10326632,.178786001,55.03
24,d14d8d77a8e3d6533eb035610987072d4368e932,10873768,.133009115,77.96
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10970597,.170650137,61.29
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11074838,.195030163,54.14
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11458034,.173805122,62.82
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11634751,.209232162,53.00
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.229311053,8.80
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2652310,.077480773,32.52
3,6924be31de94ccaae8b96077037ab312939c0e32,3004222,.159388235,17.94
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3022410,.135001001,21.33
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3066897,.133749547,21.83
6,d3733b28ba685e91957eb785b700fe7f512b2740,3361554,.046782138,68.40
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3359425,.061175273,52.30
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8410703,.143452667,55.90
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10892011,.117833328,88.09
10,b939be9b42d03a5a25a97a654bfe99327632f525,11013977,.081867794,128.25
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11019841,.153398310,68.44
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11494210,.140698749,77.89
13,386d25013d9257354004499630a0474936ca9afe,9216900,.190425250,46.10
14,6fe06c8e77e815cb87687d39246324b0687526ce,9528515,.198795629,45.67
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9648724,.203466557,45.21
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9662261,.222749772,41.34
17,0906e19089d696d0b0b986310417382d10731506,9780995,.192397947,48.44
18,a7350b8c7d319482804752cae0713134d2fd9c41,9975764,.226070331,42.06
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10007266,.214465738,44.48
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10059058,.221301817,43.33
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10144972,.174660718,55.36
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10204376,.172066068,56.54
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10326632,.241991135,40.66
24,d14d8d77a8e3d6533eb035610987072d4368e932,10873768,.211698974,48.98
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10970597,.227128166,46.05
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11074838,.226163318,46.69
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11458034,.202799251,53.84
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11634751,.263628741,42.06
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,5.622134103,.35
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,3.333460162,.76
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,1.397082725,2.06
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.838746651,3.45
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,1.407541149,2.09
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.047548379,67.93
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,1.141762626,2.82
