Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.819592037,11.06,8831926,167885,8999811
2,29490026,1.655947944,16.98,12355336,160934,12516270
3,56090391,4.465136772,11.97,26226044,729217,26955261
4,55668797,1.487481735,35.68,28886914,727276,29614190
5,55699494,1.510040593,35.17,31382850,727510,32110360
6,55693155,.951179619,55.83,32322231,727744,33049975
7,53406036,1.912078370,26.63,36045053,304124,36349177
8,74382330,5.395486257,13.14,52697371,1082338,53779709
9,75204083,2.648959709,27.07,58133441,1087977,59221418
10,75870097,2.286413394,31.64,62518861,1090422,63609283
11,76290428,2.359329402,30.83,67017871,1092474,68110345
12,76604029,1.754072853,41.64,69874576,1094102,70968678
13,113371107,8.508128101,12.70,94005352,1578418,95583770
14,113745479,3.136396077,34.58,99930290,1587311,101517601
15,113819265,1.857758827,58.42,101827629,1589675,103417304
16,114667348,3.074629853,35.56,107371602,1597239,108968841
17,114899111,2.805702275,39.05,112223558,1603223,113826781
18,115001266,2.617388554,41.90,116178342,1607532,117785874
19,128212133,9.173066273,13.32,140060345,1742352,141802697
20,129641986,4.232934366,29.20,147730589,1753475,149484064
21,129733854,2.937797140,42.11,152294633,1759456,154054089
22,130668145,3.834796592,32.49,158662672,1766092,160428764
23,130784622,3.353076347,37.19,163931549,1770704,165702253
24,130813859,2.567735308,48.58,166689787,1771653,168461440
25,131451629,2.951344084,42.47,170302922,1773297,172076219
26,166821106,13.416002417,11.85,203784141,2433475,206217616
27,164784358,5.025060031,31.27,211686209,2444525,214130734
28,166881977,3.940556522,40.38,217475419,2454147,219929566
29,167442913,4.208998828,37.93,223058050,2460803,225518853
30,168577785,5.037383963,31.91,230665492,2475175,233140667
31,168718757,3.505051182,45.90,235010732,2483647,237494379
32,168241070,3.112468285,51.54,238175197,2263876,240439073
33,198333680,13.464420898,14.04,270439162,2983142,273422304
34,200589575,6.769382623,28.25,280808652,3007531,283816183
35,199835025,6.177275149,30.85,290448168,3033577,293481745
36,199831830,4.715376179,40.41,298041862,2843087,300884949
37,200027076,4.147847718,45.99,303447606,2856237,306303843
38,237233878,17.404647415,12.99,346372191,3457721,349829912
39,238468950,6.677168440,34.05,355484101,3476273,358960374
40,240057729,7.337468086,31.20,367049049,3521914,370570963
41,266028582,14.422194462,17.59,401659356,3976446,405635802
42,267895079,6.997688666,36.50,409603160,3982819,413585979
43,268010507,8.797230555,29.05,425816321,3987351,429803672
44,268216912,6.509752595,39.29,433543627,3993123,437536750
45,265840056,5.128700580,49.43,438336513,3995606,442332119
46,352587918,23.767120028,14.14,496670826,6785484,503456310
47,350653798,9.037445694,37.00,507599283,6804361,514403644
48,350996096,7.191673874,46.54,515501568,6814597,522316165
49,353255236,6.865792764,49.06,522804366,6831625,529635991
50,353438271,6.739762604,50.01,529524406,6846125,536370531
51,353427901,6.374895408,52.87,535220112,6853897,542074009
52,353452954,5.616140743,60.01,538678127,6854289,545532416
53,371780260,22.700229800,15.61,609609961,7344800,616954761
54,372022126,7.256733129,48.88,231235008,7314314,238549322
55,372317542,8.803428595,40.33,239280346,7325474,246605820
56,372581027,6.948610469,51.13,245934270,7344785,253279055
57,372784320,6.482249499,54.84,251182158,7361517,258543675
58,372986229,6.696274750,53.11,257374554,7370314,264744868
59,373087756,6.100462491,58.32,261621892,7375534,268997426
60,373150015,5.791609023,61.44,265621407,7381138,273002545
61,388600680,19.833569650,18.68,308871020,7705065,316576085
62,389179254,10.177893726,36.46,320159860,7723872,327883732
63,390466995,8.424238979,44.20,328583098,7737780,336320878
64,390701350,8.144581276,45.74,335622510,7750200,343372710
65,390890724,8.055530288,46.27,342594603,7763462,350358065
66,424907901,23.605839029,17.16,392439665,8297429,400737094
67,426201401,12.487826659,32.54,405815059,8327001,414142060
68,427529725,12.675986345,32.16,417456462,8345600,425802062
69,427767802,8.613448248,47.36,425147710,8359299,433507009
70,427898671,7.864925930,51.88,433231795,8371647,441603442
71,460844155,19.856748420,22.13,478953845,8834317,487788162
72,461492436,11.224787114,39.20,492539692,8857208,501396900
73,462797338,11.199176276,39.40,504975414,8874180,513849594
74,463112019,11.534631036,38.28,520220593,8897917,529118510
75,463294063,8.237196966,53.63,528701910,8913019,537614929
76,484215784,24.925327305,18.52,585339178,9214951,594554129
77,484462766,8.808543435,52.45,594795759,9234637,604030396
78,480326242,9.126301969,50.19,605212935,9236462,614449397
79,481626298,10.068680718,45.61,618011606,9282030,627293636
80,481860544,8.336222249,55.12,626171369,9293882,635465251
81,482086018,7.862858964,58.47,633425153,9307094,642732247
82,504725326,23.999465058,20.05,687512627,9790661,697303288
83,505441115,9.425966229,51.13,697881176,9824544,707705720
84,505804261,9.091125174,53.05,707620883,9844398,717465281
85,506367223,9.922096973,48.66,719202861,9873067,729075928
86,506716317,9.398319910,51.41,729420956,9896154,739317110
87,535807437,26.262306994,19.45,787076881,10478070,797554951
88,536818335,14.489981159,35.33,801742456,10504509,812246965
89,538739869,14.148409006,36.31,817941400,10542106,828483506
90,539340805,11.419440105,45.04,830848585,10578844,841427429
91,541173839,12.001923224,43.00,844990388,10625626,855616014
92,565357613,29.242733616,18.43,905329007,11052176,916381183
93,566867667,14.438479404,37.44,921771394,11102320,932873714
94,567459860,15.111360435,35.81,936672357,11132391,947804748
95,567921053,11.863568698,45.65,950335497,11162629,961498126
96,568691998,11.774204959,46.06,963248345,11214668,974463013
97,464258538,29.416190239,15.05,1025394858,8404773,1033799631
98,464654996,13.061048490,33.92,1040474386,8424572,1048898958
99,465392676,13.993785725,31.71,1056797891,8464486,1065262377
100,466029299,10.875888091,40.86,1070374646,8518344,1078892990
101,467098385,10.471013997,42.54,1083182037,8564286,1091746323
102,488778396,31.136291029,14.97,1150598488,9042007,1159640495
103,489366583,13.755046311,33.92,1166263968,9071051,1175335019
104,489829597,15.172682596,30.78,1207090267,9117802,1216208069
105,491133200,11.877499687,39.43,1468636125,9219130,1477855255
106,492024920,10.899657473,43.04,527727920,9217979,536945899
107,536515602,38.208107925,13.39,602742453,9967189,612709642
108,537275487,17.428983835,29.39,619259032,9994814,629253846
109,538115169,15.079849286,34.03,636120602,10039220,646159822
110,539554485,14.612056435,35.21,652672991,10108051,662781042
111,577517216,39.623178426,13.89,726821793,11364188,738185981
112,578364388,18.022934485,30.60,743712107,11397673,755109780
113,579587259,19.795639711,27.92,767437146,11488545,778925691
114,609698420,38.391177344,15.14,848460722,12223283,860684005
115,610470917,19.525800251,29.81,870909874,12254397,883164271
116,611584704,18.761978293,31.08,895911835,12316174,908228009
117,639406155,40.067680061,15.21,979494133,13116903,992611036
1,32717389,2.856894982,10.92,8831926,167885,8999811
2,29490026,1.614727029,17.41,12355336,160934,12516270
3,56090391,4.536451266,11.79,26226044,729217,26955261
4,55668797,1.485217032,35.73,28886914,727276,29614190
5,55699494,1.492080081,35.59,31382850,727510,32110360
6,55693155,.933996273,56.86,32322231,727744,33049975
7,53406036,1.950361310,26.11,36045053,304124,36349177
8,74382330,5.439332778,13.04,52697371,1082338,53779709
9,75204083,2.641385645,27.15,58133441,1087977,59221418
10,75870097,2.290958782,31.58,62518861,1090422,63609283
11,76290428,2.343143031,31.04,67017871,1092474,68110345
12,76604029,1.774301389,41.17,69874576,1094102,70968678
13,113371107,8.563956864,12.62,94005352,1578418,95583770
14,113745479,3.171314594,34.20,99930290,1587311,101517601
15,113819265,1.942941208,55.86,101827629,1589675,103417304
16,114667348,3.107231675,35.19,107371602,1597239,108968841
17,114899111,2.920516052,37.51,112223558,1603223,113826781
18,115001266,2.668433740,41.09,116178342,1607532,117785874
19,128212133,9.155547639,13.35,140060345,1742352,141802697
20,129641986,4.257661375,29.03,147730589,1753475,149484064
21,129733854,2.953533908,41.88,152294633,1759456,154054089
22,130668145,3.846775679,32.39,158662672,1766092,160428764
23,130784622,3.316243132,37.60,163931549,1770704,165702253
24,130813859,2.368687461,52.66,166689787,1771653,168461440
25,131451629,2.654133573,47.23,170302922,1773297,172076219
26,166821106,13.239160392,12.01,203784141,2433475,206217616
27,164784358,4.894453953,32.10,211686209,2444525,214130734
28,166881977,3.809000218,41.78,217475419,2454147,219929566
29,167442913,4.069391441,39.23,223058050,2460803,225518853
30,168577785,4.839592548,33.21,230665492,2475175,233140667
31,168718757,3.370117477,47.74,235010732,2483647,237494379
32,168241070,2.935395144,54.65,238175197,2263876,240439073
33,198333680,12.730033084,14.85,270439162,2983142,273422304
34,200589575,6.331218717,30.21,280808652,3007531,283816183
35,199835025,6.113623226,31.17,290448168,3033577,293481745
36,199831830,4.671612926,40.79,298041862,2843087,300884949
37,200027076,3.979298673,47.93,303447606,2856237,306303843
38,237233878,16.488759550,13.72,346372191,3457721,349829912
39,238468950,6.189548440,36.74,355484101,3476273,358960374
40,240057729,7.041686979,32.51,367049049,3521914,370570963
41,266028582,13.548823056,18.72,401659356,3976446,405635802
42,267895079,6.450859928,39.60,409603160,3982819,413585979
43,268010507,8.424385962,30.33,425816321,3987351,429803672
44,268216912,6.123941054,41.76,433543627,3993123,437536750
45,265840056,4.486855217,56.50,438336513,3995606,442332119
46,352587918,22.187222719,15.15,496670826,6785484,503456310
47,350653798,8.116584578,41.19,507599283,6804361,514403644
48,350996096,6.423685061,52.10,515501568,6814597,522316165
49,353255236,6.311256255,53.37,522804366,6831625,529635991
50,353438271,6.252706958,53.90,529524406,6846125,536370531
51,353427901,5.921820682,56.91,535220112,6853897,542074009
52,353452954,5.332796186,63.20,538678127,6854289,545532416
53,371780260,22.078457348,16.05,590661865,7295648,597957513
54,372022126,7.252368369,48.91,762711382,7314314,770025696
55,372317542,7.910383412,44.88,239280346,7325474,246605820
56,372581027,6.587374087,53.93,245934270,7344785,253279055
57,372784320,5.834233019,60.93,251182158,7361517,258543675
