Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,3.041593117,10.85,12418206,151942,12570148
2,38557348,1.168113114,31.47,16292023,158921,16450944
3,35738095,.756187086,45.06,16831560,158236,16989796
4,35536618,.602204724,56.27,17100492,151986,17252478
5,35538209,.531841192,63.72,17148218,152020,17300238
6,38617421,.562594649,65.44,17437475,155192,17592667
7,39142519,.738082796,50.56,17725495,161011,17886506
8,39650978,.608122276,62.17,17788446,161349,17949795
9,40425999,.546859838,70.49,18047427,162256,18209683
10,41020690,.659298331,59.33,18373821,163105,18536926
11,41585619,.660117701,60.06,18401042,163445,18564487
12,42148638,.511979501,78.49,18466312,163681,18629993
13,42776701,.578900314,70.46,18641022,165317,18806339
14,43710311,.682661688,61.05,19123123,167514,19290637
15,45486398,.908759782,47.72,19821387,168788,19990175
16,43755730,.671798779,62.10,20066054,167536,20233590
17,44354293,.574621681,73.59,20115393,168428,20283821
18,46629558,.583865159,76.14,20253324,169600,20422924
19,47239039,.589574318,76.41,20438474,175430,20613904
20,47920628,.817029068,55.93,20772976,175490,20948466
21,48925664,.857558212,54.39,21391911,180857,21572768
22,49608561,.753510480,62.78,21695065,182871,21877936
23,51207207,.892696828,54.69,23340932,185800,23526732
24,51793370,.745400952,66.25,23835049,185859,24020908
25,52385283,.726785371,68.72,24144279,186471,24330750
26,53564110,.999485589,51.10,26702349,170426,26872775
27,53989551,.673218401,76.46,26960294,189555,27149849
28,54338805,.656328475,78.95,27211773,171114,27382887
29,54985995,.643924454,81.42,27451362,174929,27626291
30,56230509,.919766366,58.29,28597372,187096,28784468
31,56278130,.630711312,85.09,28654615,187436,28842051
32,56278222,.672017092,79.86,28662309,187777,28850086
33,56278222,.599087879,89.58,28669076,188013,28857089
34,56062835,.694436188,76.98,28808431,187402,28995833
35,60945790,1.487916294,39.06,33362445,187623,33550068
36,61000908,.717264766,81.09,33533786,185635,33719421
37,59178885,1.328583491,42.47,38883259,185822,39069081
38,31068062,2.370941950,12.49,45845471,406234,46251705
39,61151151,1.542733185,37.79,47102290,205186,47307476
40,56280706,1.192661765,45.00,47916815,189246,48106061
41,56241220,.891633420,60.14,48611994,190995,48802989
42,61162356,1.047150042,55.69,49486935,205518,49692453
