Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,198932586,11.780852520,16.10,52951779,1693063,54644842
2,203170075,8.320152317,23.28,80183759,1718410,81902169
3,201379784,5.705009528,33.66,89757489,1712030,91469519
4,202001104,3.402217424,56.62,91877117,1714750,93591867
5,202421962,3.465221041,55.70,94062803,1717941,95780744
6,202551971,2.796802483,69.06,94670740,1719433,96390173
7,203142928,2.831267575,68.42,95165183,1719572,96884755
8,209474517,8.972280931,22.26,121340282,1793641,123133923
9,206185412,5.628634354,34.93,130008925,1757052,131765977
10,206101163,3.051697666,64.40,131104813,1757193,132862006
11,206747690,3.464470933,56.90,133213630,1765537,134979167
12,209287831,3.407025888,58.58,134807787,1793136,136600923
13,209400444,3.165184465,63.08,135315938,1794332,137110270
14,209442438,3.138860025,63.63,135620330,1794656,137414986
15,209471141,2.225592317,89.75,135861303,1795292,137656595
16,213859628,7.920531125,25.74,160760988,1827045,162588033
17,212903056,3.951475886,51.38,167542826,1824944,169367770
18,213133328,2.697158838,75.35,169214721,1826972,171041693
19,213609387,2.586807147,78.74,170530314,1826768,172357082
20,213842345,2.362255155,86.32,170911744,1827797,172739541
21,213853535,2.292263920,88.96,171122927,1828129,172951056
22,217810317,9.533007522,21.78,199919128,1868414,201787542
23,217914677,5.037408855,41.25,207334360,1868780,209203140
24,217797201,3.224926615,64.40,208890416,1868870,210759286
25,217817349,2.841116242,73.11,209596206,1869114,211465320
26,217831404,2.625802263,79.11,209933011,1869350,211802361
27,217814780,2.730183649,76.08,210466206,1869594,212335800
28,217802064,2.690138997,77.21,210898057,1869830,212767887
29,217808150,2.709958266,76.64,211100218,1870066,212970284
30,223347298,10.538572266,20.21,242597692,1910506,244508198
31,222527864,5.847354350,36.29,253393964,1906842,255300806
32,223081536,4.012514723,53.01,256622506,1910088,258532594
33,223268371,3.760250292,56.62,258849328,1911128,260760456
34,223326076,3.178965600,66.99,259812427,1911546,261723973
35,223305456,3.089454358,68.93,260438194,1911598,262349792
36,223332821,3.216529507,66.21,260879601,1911834,262791435
37,225821373,10.507190517,20.49,291704776,1943250,293648026
38,226889655,5.442854392,39.75,300918695,1945692,302864387
39,225528153,3.810884247,56.43,303514240,1942185,305456425
40,225583764,3.277685035,65.63,304729951,1942622,306672573
41,225668136,3.463297302,62.14,306055881,1943250,307999131
42,225797657,3.232575900,66.61,306670646,1944342,308614988
43,225806624,3.257202518,66.11,306870418,1944666,308815084
44,228972842,12.946380006,16.86,346542888,2009993,348552881
45,228264119,6.007264400,36.23,359743273,2007324,361750597
46,228507231,3.973946940,54.83,362034742,2007653,364042395
47,228516631,3.296013859,66.11,363191570,2007889,365199459
48,228572753,3.493581544,62.39,364638639,2008293,366646932
49,228889531,3.257880823,67.00,365434764,2009813,367444577
50,228945488,3.239701752,67.39,365743906,2010433,367754339
51,228949377,3.273276618,66.70,365901763,2011541,367913304
52,234797399,12.433319863,18.00,403310326,2079664,405389990
53,233764661,7.106646986,31.36,418633355,2073893,420707248
54,234513721,5.037817309,44.39,423416399,2078996,425495395
55,234713523,4.171840418,53.65,425389403,2079404,427468807
56,234757879,3.156164552,70.93,426063953,2080023,428143976
57,234756520,3.239689646,69.10,426728323,2080372,428808695
58,234768686,3.338253343,67.06,427176084,2080704,429256788
59,238394457,10.485489473,21.68,457383183,2114343,459497526
60,238087975,5.276639667,43.02,464379086,2114259,466493345
61,238121863,3.849820187,58.98,465778055,2114423,467892478
62,238123525,3.187603740,71.24,466420644,2114555,468535199
63,238184306,3.966490326,57.26,466894016,2114791,469008807
64,238217593,2.766755380,82.11,467435763,2115035,469550798
65,238373942,2.540080602,89.49,467975682,2115655,470091337
66,238389291,2.412533003,94.23,468277670,2115995,470393665
67,242308032,9.967513839,23.18,499840044,2148930,501988974
68,242050764,4.681499875,49.30,508499442,2148252,510647694
69,242261210,3.028168218,76.29,510532181,2150425,512682606
70,242284180,2.992757661,77.20,512556299,2150196,514706495
71,242257921,3.370553641,68.54,513477530,2150128,515627658
72,242295390,3.242678690,71.25,514360786,2150364,516511150
73,242277276,3.316046040,69.67,515005178,2150216,517155394
74,242295522,3.068507191,75.30,515163939,2150582,517314521
75,250367302,11.543288376,20.68,549594869,2229304,551824173
76,252085693,11.344158850,21.19,582053626,2241659,584295285
77,259905377,14.311191882,17.31,623562701,2298406,625861107
78,271370297,14.051575361,18.41,665190100,2375698,667565798
79,276025097,13.044253205,20.17,704629843,2422748,707052591
80,280531207,15.195387375,17.60,747912517,2449760,750362277
81,296535397,13.539471774,20.88,787288515,2546675,789835190
82,321662752,16.050639804,19.11,832971746,2690731,835662477
83,337925320,14.593720882,22.08,879737524,2814224,882551748
84,349679961,14.366029934,23.21,923821567,2939635,926761202
85,365602009,16.113039453,21.63,972565862,3079948,975645810
86,377698976,17.546814356,20.52,1021786575,3191818,1024978393
87,386827268,18.975744978,19.44,1078679842,3266431,1081946273
88,394440830,16.248956524,23.14,1125436192,3369590,1128805782
89,394634624,16.196751654,23.23,1171378330,3469206,1174847536
90,411988513,18.529722905,21.20,1226309827,3566901,1229876728
91,420804183,16.350876946,24.54,1272166437,3636557,1275802994
92,429344061,19.580552525,20.91,1328384903,3722232,1332107135
93,430750366,15.824907147,25.95,1371218473,3726348,1374944821
94,434093433,16.606964192,24.92,1416285943,3756543,1420042486
95,440305298,18.627217748,22.54,1469533130,3823108,1473356238
96,445173684,18.619695488,22.80,1521702265,3870340,1525572605
97,451393710,19.020835111,22.63,1576851543,3918555,1580770098
98,458281160,17.009924359,25.69,1625135945,3974825,1629110770
99,467490133,16.747242116,26.62,1670243032,4040984,1674284016
100,477079813,19.262321185,23.61,1724736788,4169188,1728905976
101,483297316,18.669388058,24.68,1781433777,4233256,1785667033
102,490992011,19.060590769,24.56,1835492763,4324742,1839817505
103,498353524,19.102641094,24.87,1889644788,4385515,1894030303
104,510484985,18.657277246,26.09,1940742833,4495276,1945238109
105,519970469,18.155977783,27.31,1988766603,4557067,1993323670
106,525558822,19.685664670,25.46,2041801995,4598543,2046400538
107,535318825,20.588300375,24.79,2097851361,4704507,2102555868
108,546305394,19.660138877,26.49,2154395188,4800662,2159195850
109,553163070,18.605987439,28.35,2206874407,4870586,2211744993
110,551044979,20.259445004,25.93,2261826620,4877646,2266704266
111,554582767,19.015290481,27.81,2312989847,4928782,2317918629
112,558419992,21.002717225,25.35,2370939304,4975795,2375915099
113,563713852,18.881723893,28.47,2420155377,5031634,2425187011
114,569438859,20.080649374,27.04,2474101990,5085065,2479187055
115,604044458,21.942558077,26.25,2533050455,5232442,2538282897
116,613530412,20.073128297,29.14,2585576017,5317105,2590893122
117,620747175,20.838930537,28.40,2640107275,5390683,2645497958
118,630073252,21.274839286,28.24,2695959696,5471939,2701431635
119,637837667,21.649464557,28.09,2752592807,5552251,2758145058
120,648246721,22.076863635,28.00,2810368104,5632985,2816001089
121,657746497,22.223330986,28.22,2868366941,5754261,2874121202
122,666123744,23.940297582,26.53,2928202877,5833696,2934036573
123,683123914,24.486136433,26.60,2995848792,5941311,3001790103
124,691869059,25.732268363,25.64,3066688903,6028641,3072717544
125,748649300,26.102712876,27.35,3135059570,6276830,3141336400
126,786665934,25.543285604,29.37,3200669770,6359423,3207029193
127,793254569,33.203201165,22.78,3282089634,6441021,3288530655
128,802065244,27.594929667,27.71,3357459499,6556288,3364015787
129,803277828,26.421444029,28.99,3425230776,6620742,3431851518
130,801823707,26.659819733,28.68,3491898228,6459694,3498357922
131,797771761,26.932282680,28.24,3561591810,6378778,3567970588
132,806874156,26.513017898,29.02,3629172083,6459111,3635631194
133,821809560,26.991878751,29.03,3697180583,6541153,3703721736
134,830085998,26.705313263,29.64,3763132910,6615425,3769748335
135,837971228,27.028461618,29.56,3832156838,6699628,3838856466
136,837249930,42.081011651,18.97,3946630839,6777609,3953408448
137,878975909,28.865365715,29.03,4017745595,6859284,4024604879
138,903476344,27.865628469,30.92,4088323529,6912223,4095235752
139,912591824,27.166396005,32.03,4155537410,6999467,4162536877
140,922054494,28.219014223,31.16,4223743565,7093881,4230837446
141,929824825,26.539450862,33.41,4288238880,7161571,4295400451
142,947592729,30.269002465,29.85,4363730554,7344021,4371074575
143,974441943,33.617960317,27.64,4450363817,7421354,4457785171
144,982194678,31.800679382,29.45,4530231312,7492104,4537723416
145,982581377,14.019620101,66.83,4546212230,7497497,4553709727
146,981865214,11.283603832,82.98,4548732524,7490315,4556222839
147,981912885,10.865123643,86.18,4550888696,7490786,4558379482
148,982020571,10.122146766,92.52,4552649379,7491856,4560141235
149,982086960,10.952497866,85.51,4554292213,7492934,4561785147
150,982166613,10.892968188,85.98,4555337207,7493532,4562830739
151,982170299,9.405008659,99.59,4556155830,7493762,4563649592
152,1026770722,28.996171621,33.76,4628477956,7565752,4636043708
153,1026477640,14.082436377,69.51,4641818897,7563908,4649382805
154,1026484245,10.560339524,92.69,4642722839,7563762,4650286601
155,1026529981,10.174046348,96.22,4645650976,7564148,4653215124
156,1026602073,9.830179640,99.59,4647357112,7565850,4654922962
157,1026640338,11.192943956,87.47,4649047989,7565992,4656613981
158,1026692923,11.119694559,88.05,4650163511,7566980,4657730491
159,1026751098,9.893591855,98.97,4650653154,7567418,4658220572
160,1032708904,30.317530919,32.48,4719588477,7597028,4727185505
161,1032466937,14.476832385,68.01,4734054261,7595882,4741650143
162,1032502560,10.426327369,94.44,4735295630,7596792,4742892422
163,1032564654,11.745893456,83.83,4738062930,7597254,4745660184
164,1032580540,10.781526267,91.33,4739061362,7597748,4746659110
165,1032642128,11.323654049,86.96,4741026060,7598218,4748624278
166,1032651903,10.133800719,97.18,4741813301,7598344,4749411645
167,1032700227,10.581655634,93.07,4742648160,7598694,4750246854
168,1032705908,10.302232452,95.59,4742776243,7598932,4750375175
169,1053750762,49.549908602,20.28,4820896074,7678397,4828574471
170,1053459494,13.915986368,72.19,4835495123,7677317,4843172440
171,1053498952,11.058611272,90.85,4837324866,7677737,4845002603
172,1053522445,10.759638877,93.37,4838639176,7678079,4846317255
173,1053637830,10.928349416,91.94,4840551607,7678821,4848230428
174,1053671095,11.202702987,89.69,4841593947,7679259,4849273206
175,1053700269,10.817799504,92.89,4842305030,7679497,4849984527
176,1053741867,11.060481649,90.85,4842843328,7680063,4850523391
177,1088407663,41.443106416,25.04,4921064538,7754509,4928819047
178,1088233407,15.115805871,68.65,4935340549,7754551,4943095100
179,1088230811,11.160506109,92.98,4938118723,7754969,4945873692
180,1088278840,11.272599355,92.06,4940136658,7755327,4947891985
181,1088331628,11.358459248,91.37,4941507519,7755605,4949263124
182,1088372165,11.048088395,93.94,4942571175,7755947,4950327122
183,1088389895,10.704011991,96.96,4943425432,7756097,4951181529
184,1088400055,10.763935144,96.43,4943961164,7756199,4951717363
185,1098297240,35.303620893,29.66,5012421487,7838954,5020260441
186,1098043458,14.876420204,70.39,5026941165,7837824,5034778989
187,1098079794,11.217362061,93.35,5028663161,7838526,5036501687
188,1098122313,11.568344512,90.52,5030504257,7838972,5038343229
189,1098175205,11.129102045,94.10,5032214748,7839474,5040054222
190,1098218597,12.182643206,85.96,5033272643,7839824,5041112467
191,1098254020,11.501199416,91.06,5034011911,7840158,5041852069
192,1098288395,11.503565788,91.05,5034622798,7840524,5042463322
193,1112835226,32.337912769,32.81,5109026782,7918937,5116945719
194,1112632505,14.598991044,72.68,5123145854,7918919,5131064773
195,1112672646,10.956214806,96.85,5125720265,7919437,5133639702
196,1112635248,11.043660224,96.08,5127790157,7919154,5135709311
197,1112687540,11.334371024,93.62,5129247290,7919488,5137166778
198,1112751205,11.272989256,94.13,5130719484,7919991,5138639475
199,1112783301,11.607381188,91.42,5131450944,7920229,5139371173
200,1112806937,11.296311176,93.94,5131974502,7920603,5139895105
201,1112823332,11.642685969,91.15,5132243012,7920841,5140163853
202,1120327750,39.164624884,27.28,5202941162,8003242,5210944404
203,1120014970,15.510037313,68.86,5217982532,8001720,5225984252
204,1120089263,10.926708223,97.76,5220910250,8002550,5228912800
205,1120168836,11.615300691,91.97,5223159690,8002588,5231162278
206,1120194262,11.554880600,92.45,5225026610,8002930,5233029540
207,1120204113,11.393378674,93.76,5226206489,8003520,5234210009
208,1120240999,11.171815152,95.62,5227558228,8004182,5235562410
209,1120273006,11.308779667,94.47,5228259273,8004532,5236263805
210,1120326639,11.690123382,91.39,5228725778,8005146,5236730924
211,1175285560,36.603380347,30.62,5305867762,8107135,5313974897
212,1175092743,15.157463529,73.93,5319696921,8106137,5327803058
213,1175124117,11.766803071,95.24,5321863880,8106791,5329970671
214,1175149808,12.291550004,91.17,5323938142,8107053,5332045195
215,1175165321,11.519441080,97.28,5325013645,8107195,5333120840
216,1175201855,10.769699625,104.06,5326412748,8107345,5334520093
217,1175226965,10.488616549,106.85,5327022016,8108087,5335130103
218,1175262459,10.492710445,106.81,5327515409,8108673,5335624082
219,1228543696,48.196055559,24.30,5408447233,8230420,5416677653
220,1228224561,16.466755822,71.13,5423569168,8228992,5431798160
221,1228268646,12.685071811,92.34,5425453347,8230286,5433683633
222,1228298756,13.222821354,88.58,5427467234,8230573,5435697807
223,1228361406,13.301017734,88.07,5429134488,8231067,5437365555
224,1228386320,13.073779068,89.60,5430139993,8231393,5438371386
