Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,1.494088963,12.91,3878506,503307,4381813
2,20304307,.568997042,34.02,4330779,504278,4835057
3,20341860,.507330432,38.21,4526429,505327,5031756
4,20362280,.539066077,36.00,4652450,505865,5158315
5,20698589,.609765258,32.35,5081047,512182,5593229
6,20790499,.593488782,33.39,5406155,513296,5919451
7,20873578,.625404499,31.81,5731694,515484,6247178
8,21078740,.649812128,30.93,6269452,518827,6788279
9,21227178,.587549758,34.44,6637585,521377,7158962
10,21386004,1.862645358,10.94,10578565,525119,11103684
11,21498654,.528783458,38.76,10844373,528386,11372759
12,21507592,.495588634,41.38,10996159,528622,11524781
13,21577779,.611949053,33.61,11212300,530108,11742408
14,21563266,.540429579,38.04,11270369,529455,11799824
15,21657072,.573088875,36.03,11689427,531165,12220592
16,21788377,.687724282,30.20,12199074,532897,12731971
17,21832791,.611121962,34.06,12583494,533733,13117227
18,21833427,1.271710894,16.37,12644817,533969,13178786
19,21837899,1.416678899,14.69,12734203,534205,13268408
20,22086624,1.606018035,13.11,13496408,536601,14033009
21,22113265,1.278755832,16.48,13640747,536837,14177584
22,22473211,2.034732251,10.53,15171325,542030,15713355
23,22528807,1.155578272,18.58,15743732,542954,16286686
24,22571592,.727816709,29.56,16418048,544583,16962631
25,22592770,.664598528,32.41,16749433,544786,17294219
26,22646715,.571601967,37.77,16921327,545695,17467022
27,22707852,.614852909,35.21,17250794,546864,17797658
28,22710068,.498474854,43.43,17309724,547204,17856928
29,22750440,.598563126,36.23,17581777,547712,18129489
30,22837903,.568249769,38.31,17871121,549169,18420290
31,22851488,.621985260,35.03,18170594,550125,18720719
32,22912560,.615829786,35.48,18498126,551233,19049359
33,22918926,.607417176,35.97,18663812,551469,19215281
34,22938599,.634165487,34.48,18981511,551826,19533337
35,22974213,.537344367,40.75,19213751,552494,19766245
36,23103620,.598959135,36.78,19611407,554933,20166340
37,23114914,.603694204,36.50,19770873,555454,20326327
38,23117673,.550338668,40.04,19886975,555690,20442665
39,23511769,.613285984,36.55,20132950,564398,20697348
40,23511769,.523388015,42.83,20191915,564634,20756549
41,23709439,.655093443,34.51,20494113,566906,21061019
42,23862319,.672938045,33.80,20742225,569116,21311341
43,23895213,.670082005,33.99,20992092,569697,21561789
44,24010805,.694841803,32.94,21517822,571956,22089778
45,24011659,.500595729,45.72,21597193,572192,22169385
46,24033959,.571283542,40.12,21802631,572428,22375059
47,24064386,.545937988,42.01,22060403,572928,22633331
48,24101564,.612443821,37.52,22272144,574108,22846252
49,24132508,.603161829,38.14,22535159,574320,23109479
50,24154992,.605369426,38.04,22824681,574676,23399357
51,24193274,.578630365,39.87,23113751,575624,23689375
52,24192636,.586384939,39.34,23394956,575740,23970696
53,24222621,.636909656,36.26,23648438,576248,24224686
54,24254001,.628863985,36.78,23986612,576764,24563376
55,24267712,.513051328,45.10,24085062,577257,24662319
56,24284353,.587109809,39.43,24243694,578277,24821971
57,24323473,.578873253,40.06,24504656,579060,25083716
58,24423603,.570537226,40.82,24835007,579904,25414911
59,24423710,.492466361,47.29,24897429,580140,25477569
60,24423710,.485724512,47.94,24958666,580376,25539042
61,24449714,.621752893,37.49,25198654,581244,25779898
62,24453225,.543553168,42.90,25293712,581480,25875192
63,24518300,.614300055,38.05,25652568,583028,26235596
64,24587351,.659927487,35.51,26115177,584449,26699626
65,24672162,.614872526,38.25,26412238,586312,26998550
66,24791802,.694802752,34.02,27000261,588326,27588587
67,24828042,.588960792,40.18,27244420,589010,27833430
68,24857708,.599983444,39.50,27570174,589510,28159684
69,24883530,.575200706,41.25,27802476,589746,28392222
70,24975182,.676204757,35.21,28253574,591270,28844844
71,25003159,.615909452,38.70,28585754,592074,29177828
72,25072694,1.546739624,15.45,28778610,593379,29371989
73,25082407,1.483462358,16.12,29048502,593887,29642389
74,25102033,1.443068758,16.58,29299317,594443,29893760
75,25117816,1.513400123,15.82,29481354,594815,30076169
76,25138002,1.480405762,16.19,29780460,595211,30375671
77,25140423,1.528650062,15.68,29840967,595447,30436414
78,25242311,.764170771,31.49,30526259,596885,31123144
79,25230586,.637342205,37.75,30860961,596398,31457359
80,25835553,.993838205,24.78,31807805,608165,32415970
81,25888634,.600070823,41.12,32071825,608537,32680362
82,26197707,.679093886,36.78,32465755,613019,33078774
83,26461339,.591074863,42.68,32630780,623340,33254120
84,26605974,.692951996,36.61,33032671,625472,33658143
85,26620303,.607321495,41.79,33246904,626004,33872908
86,26620246,.539843470,47.01,33328347,626240,33954587
87,27245871,.958001040,27.11,34258972,638406,34897378
88,26831239,.733004177,34.89,34570542,629653,35200195
89,27013935,.717636351,35.89,34891000,637014,35528014
90,27108796,.716241725,36.09,35235508,637292,35872800
91,27189877,.706354493,36.70,35449989,638616,36088605
92,28144208,.811716541,33.06,36043925,668051,36711976
93,29381523,1.142986924,24.51,37399703,687983,38087686
94,29542549,.919120202,30.64,38279691,692520,38972211
95,19134677,1.538554627,11.85,41731125,455753,42186878
96,17653746,1.192696545,14.11,43918332,437112,44355444
97,17104702,1.092825039,14.92,45848406,430430,46278836
98,17361383,.647148208,25.57,46610694,425963,47036657
99,17277567,1.096482268,15.02,48616204,428289,49044493
