Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.499398474,22.01,12424635,152014,12576649
2,38557348,.918371259,40.03,16301829,158993,16460822
3,35738095,.590607584,57.70,16842431,158308,17000739
4,35536618,.457730650,74.03,17112634,152058,17264692
5,35538209,.363744422,93.16,17160360,152092,17312452
6,38617421,.520150806,70.78,17449813,155264,17605077
7,39142519,.530298887,70.37,17740857,161083,17901940
8,39650978,.396732241,95.30,17803808,161421,17965229
9,40425999,.452404008,85.21,18064647,162328,18226975
10,41020690,.509293870,76.81,18393375,163177,18556552
11,41585619,.430929246,92.01,18420596,163517,18584113
12,42148638,.449022505,89.50,18485866,163753,18649619
13,42776701,.459770636,88.71,18661168,165389,18826557
14,43710311,.511342267,81.51,19143449,167586,19311035
15,45486398,.652539691,66.46,19853863,168860,20022723
16,43755730,.507377289,82.22,20099461,167608,20267069
17,44354293,.472798457,89.44,20148800,168500,20317300
18,46629558,.541336177,82.13,20286731,169672,20456403
19,47239039,.508772149,88.54,20476026,175502,20651528
20,47920628,.552498801,82.71,20813017,175562,20988579
21,48925664,.646694716,72.13,21435401,180929,21616330
22,49608561,.567460756,83.37,21739461,182943,21922404
23,51207207,.827163608,59.03,23385901,185872,23571773
24,51793370,.598390325,82.53,23883844,185931,24069775
25,52385283,.542245959,92.11,24195461,186543,24382004
26,53564110,.895916616,57.01,26755714,170498,26926212
27,53989551,.576447501,89.30,27013659,189627,27203286
28,54338805,.550687807,94.10,27265154,171186,27436340
29,54985995,.536542757,97.71,27504848,175001,27679849
30,56230509,.715358582,74.95,28658773,187168,28845941
31,56278130,.480816029,111.62,28716028,187508,28903536
32,56278222,.516687768,103.87,28723734,187849,28911583
33,56278222,.525175389,102.19,28730513,188085,28918598
34,56062835,.527028991,101.43,28875235,187474,29062709
35,60945790,1.160202543,50.09,33432658,187695,33620353
36,61000908,.598184462,97.24,33608196,185707,33793903
37,59178885,1.094543692,51.55,38961999,185894,39147893
38,31068062,2.013115201,14.71,46418200,406306,46824506
39,61151151,1.134834769,51.38,47711584,205258,47916842
40,56280706,.889490079,60.33,48529218,189318,48718536
41,56241220,.713811743,75.13,49226832,191067,49417899
42,61162356,.963786662,60.51,50105370,205590,50310960
43,61162470,.585943496,99.53,50112880,205826,50318706
44,6658202,.570948379,11.10,51067444,158269,51225713
45,6671624,.420281564,15.13,51289735,158697,51448432
46,6984898,.371805334,17.91,51807484,161740,51969224
47,9227260,.640535862,13.72,52828451,167991,52996442
48,8979109,.394462726,21.70,53195754,164250,53360004
49,9034823,.278105503,30.95,53379146,166033,53545179
50,9176711,.382506899,22.87,53574476,168491,53742967
51,9189389,.280135153,31.27,53689356,168583,53857939
52,9209694,.247293595,35.50,53738306,168819,53907125
53,9245107,.300121614,29.35,53918103,169703,54087806
54,9245997,.373686710,23.57,54206111,168857,54374968
55,9485431,.388837487,23.24,54723662,175502,54899164
56,9162148,.329700964,26.47,54841168,169133,55010301
57,9471559,.295896912,30.51,55100141,169290,55269431
58,9169132,.249744378,34.99,55219125,169733,55388858
59,9542925,.388600070,23.41,55660106,176911,55837017
60,9548647,.215723000,42.18,55706024,177147,55883171
61,10752056,.594565018,17.23,56909685,187994,57097679
62,10790619,.554166421,18.56,57817973,190152,58008125
63,10801329,.277284140,37.14,57992087,190755,58182842
64,11096549,.415258290,25.47,58556573,193411,58749984
65,10801642,.266492679,38.65,58591315,191227,58782542
66,10982102,.392076748,26.70,58864294,192995,59057289
67,11100834,.329811199,32.07,59059630,193975,59253605
68,11360361,.387515497,27.94,59525170,197595,59722765
69,11402724,.300400012,36.18,59705740,197928,59903668
70,11703223,.390816701,28.55,60202594,205590,60408184
71,11420117,.298849870,36.43,60319818,198633,60518451
72,11903936,1.337224565,8.48,60782055,207474,60989529
73,11719542,1.067450909,10.46,61009237,206888,61216125
74,11908987,.967127693,11.73,61084033,207946,61291979
75,11961218,.485954238,23.45,61332899,208638,61541537
76,11972802,.319667681,35.69,61406240,208874,61615114
77,11990287,.299317434,38.18,61494458,209110,61703568
78,12056274,.363986456,31.56,61638199,209490,61847689
79,12069646,.307670505,37.41,61744610,209726,61954336
80,12940032,.688681978,17.91,62827788,221221,63049009
81,12149457,.565679685,20.47,63401406,214251,63615657
82,12940032,.369782276,33.37,63402716,221693,63624409
83,15778518,.746420894,20.14,64862814,278348,65141162
84,15778779,.333926316,45.03,64879439,278584,65158023
85,15778786,.312764473,48.08,64932844,278820,65211664
86,15871648,.610534905,24.78,65777764,280354,66058118
87,16341090,.548839741,28.38,66337485,286655,66624140
88,16570602,.909516794,17.37,67881053,287602,68168655
89,16560393,.424359009,37.20,68093016,287838,68380854
90,31068062,.697619868,42.45,68094327,418578,68512905
91,19257030,.553906507,33.14,68324003,315745,68639748
92,19257196,.367389808,49.97,68336872,315981,68652853
93,19254232,.443560330,41.39,68348879,316217,68665096
94,24097471,1.461975768,15.71,71743593,401881,72145474
95,24312533,.819111669,28.29,72987817,402033,73389850
96,24484590,.836931453,27.89,74162372,404778,74567150
97,24511611,.551199299,42.39,74480326,405126,74885452
98,24511689,.516975064,45.20,74499514,405362,74904876
99,38230903,3.057933115,11.91,81935065,1198379,83133444
100,34457680,1.766669088,18.59,85623171,1084220,86707391
